1	1	0.069896	0.10357	0.22939	0.35521	0.48104	0.55653	0.60685	0.7453	0.87408	1.1027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.8042	6.5948	7.5791	8.4311	8.7742	10.639	11.693	14.028	26.807	31.5
1	2	1.3781e-05	1.4395e-05	2.3915e-05	2.4692e-05	1.6727e-05	7.751e-06	1.861e-08	1.767e-08	1.4256e-08	6.3471e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8923e-16	1.4917e-16	1.693e-16	1.2831e-16	8.6589e-17	2.0198e-16	1.343e-16	3.461e-16	1.0105e-15	1.2545e-15
2	3	8.1778e-06	2.5188e-05	4.1868e-05	4.3276e-05	2.941e-05	1.376e-05	2.7165e-07	2.6131e-07	2.1625e-07	2.1992e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9043e-05	4.1189e-05	4.0865e-05	3.3301e-05	4.7561e-05	0.00021065	0.00020619	2.5648e-05	1.5186e-05	1.1344e-05
2	4	0.031337	0.051733	0.11521	0.17937	0.24422	0.28345	0.30975	0.41251	0.52382	0.77212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4276	4.0136	4.4008	5.4219	5.9363	8.0268	9.5219	11.893	30.79	37.729
3	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3047e-19	3.6536e-23	1.111e-22	4.3739e-23	3.6517e-21	2.6853e-21	1.1331e-22	7.5354e-22	1.8305e-19	2.4999e-19
3	7	7.4702e-11	1.9836e-10	3.6856e-10	4.611e-10	4.7597e-10	4.4761e-10	4.1317e-10	4.0654e-10	3.5094e-10	9.2799e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.9255e-10	2.1747e-10	2.9423e-10	7.341e-11	2.7861e-10	5.6774e-09	2.36e-08	3.7587e-11	4.155e-10	5.5427e-10
4	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3171e-23	1.7735e-20	3.2153e-22	1.0538e-22	4.4857e-23	1.2403e-17	1.2594e-20	5.3272e-20	4.4509e-18	6.0658e-18
5	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4412e-18	2.9222e-21	8.3016e-20	3.9242e-21	1.5684e-19	2.865e-18	5.1808e-20	2.3653e-17	1.704e-17	1.4612e-17
5	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7952e-15	2.9406e-16	3.2969e-16	7.1387e-16	6.5449e-17	9.4557e-16	3.2678e-15	3.0727e-14	7.4666e-10	1.0208e-09
6	12	6.4239e-05	0.00028945	0.00049221	0.00053163	0.00040769	0.00025492	0.0001204	0.00025649	0.00043631	0.00092715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.055262	0.074066	0.17161	0.21849	0.21055	0.29357	0.33746	0.4287	1.0791	1.3179
6	13	1.2793e-05	5.6825e-05	9.7036e-05	0.00010562	8.2579e-05	5.3573e-05	2.791e-05	6.0038e-05	0.00010255	0.00021871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8662e-07	8.3905e-08	6.2053e-08	2.6273e-09	1.1376e-08	1.4655e-08	1.0202e-08	3.2148e-09	6.7138e-08	9.0611e-08
7	14	0.00014931	0.00061522	0.0013204	0.0019792	0.0025916	0.0029367	0.0031575	0.006394	0.010638	0.022146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018322	0.0018322	0.001858	0.00018913	5.4226e-05	0.00059124	1.6378e-06	5.8923e-07	8.8761e-05	0.00012114
7	15	3.9376e-08	1.7956e-07	3.1128e-07	3.4815e-07	2.9019e-07	2.0989e-07	1.3738e-07	3.4626e-07	6.2756e-07	1.4074e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002858	6.3845e-08	6.8632e-08	2.3976e-08	1.1323e-08	1.1747e-07	1.6749e-08	6.2926e-07	9.0708e-05	0.00012379
8	16	0.00018097	0.00068035	0.0011345	0.0011799	0.00081675	0.0004027	4.4938e-05	8.6803e-05	0.00014124	0.00028781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11344	0.44963	0.77272	1.3788	2.1053	2.791	4.812	8.382	22.637	27.872
8	17	2.0418e-06	7.1365e-06	1.1867e-05	1.2276e-05	8.3635e-06	3.9411e-06	1.2851e-07	3.0052e-07	5.3046e-07	1.1641e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6812e-06	1.6944e-06	1.5681e-06	2.7915e-07	6.8299e-08	1.4892e-06	1.8829e-08	1.4216e-09	4.4355e-07	6.059e-07
8	18	4.9576e-07	2.2866e-06	3.7985e-06	3.9214e-06	2.6553e-06	1.2288e-06	6.4682e-11	1.3197e-10	2.2031e-10	4.6013e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.6569e-07	5.7921e-08	4.8937e-06	4.6303e-06	2.5246e-08	6.7454e-07	2.0647e-09	2.1284e-07	3.5035e-08	0.0
