8 0.816884637 0.152 0.86005206755 0.0128593814611 0.0
10 0.723781228 0.159 0.789934497367 0.00249044611958 0.0
12 0.742672086 0.174 0.639748888041 0.0206315544501 0.0
14 0.870936036 0.057 0.734563055189 0.337931099105 0.0
16 0.984255612 0.103 0.666993280782 0.290011469181 0.0
18 0.876640379 0.15 0.405884609883 0.190329369896 0.0
20 1.21751809 0.096 0.494057084657 0.227336208632 0.0
24 1.55686045 0.19 0.369778560523 0.955256848888 0.0
25 1.70113909 0.22 0.0883271671319 1.21425033354 0.0
26 1.0 9.99999975e-05 0.18468152903 0.81531847097 0.0
28 1.92693543 0.4 0.0766472424211 1.33569160625 0.0
