  8	0.817	0.152
  10	0.724	0.159
  12	0.743	0.174
  14	0.871	0.057
  16	0.984	0.103
  18	0.88	0.15
  20	1.218	0.096
  24	1.56	0.19
  25	1.70	0.22
  26	1.0	9.99999975E-05
  28	1.93	0.40
