Z	A	M
6	12	0.0026658
6	13	1.111e-08
7	13	1.653e-13
7	14	3.8026e-07
7	15	3.9631e-10
7	16	7.2209e-20
8	15	1.5037e-09
8	16	0.16621
8	17	1.5348e-07
8	18	3.0196e-10
8	19	8.2107e-15
9	17	6.2895e-20
9	18	8.2042e-10
9	19	7.714e-11
9	20	4.9356e-13
10	19	2.3736e-12
10	20	0.0032337
10	21	4.6559e-07
10	22	3.4914e-05
10	23	2.3905e-09
11	21	1.7385e-11
11	22	1.3232e-08
11	23	1.6313e-05
11	24	9.9366e-08
12	23	5.7129e-07
12	24	0.0049359
12	25	2.7563e-05
12	26	3.8747e-05
12	27	6.1795e-08
13	25	7.9121e-13
13	26	5.2904e-06
13	27	0.00042708
13	28	1.5709e-07
14	27	3.7747e-07
14	28	0.25928
14	29	0.00053602
14	30	0.0007574
14	31	1.1839e-08
14	32	1.4344e-10
14	33	1.3362e-14
15	30	4.0079e-06
15	31	0.00029182
15	32	1.6861e-07
15	33	1.5609e-07
15	34	4.8051e-12
16	31	1.2875e-07
16	32	0.15032
16	33	0.00029952
16	34	0.0012201
16	35	1.2059e-07
16	36	4.5625e-08
16	37	1.7736e-14
17	35	9.7049e-05
17	36	5.6623e-07
17	37	4.9628e-07
17	38	5.2327e-12
18	35	1.6304e-08
18	36	0.029139
18	37	2.3031e-05
18	38	0.00059692
18	39	4.6521e-09
18	40	9.7944e-10
18	41	2.2017e-13
19	39	7.0338e-05
19	40	3.1995e-08
19	41	2.5293e-09
19	42	3.9691e-12
19	43	1.1274e-13
19	44	3.6413e-15
20	39	9.9599e-11
20	40	0.026945
20	41	5.4959e-06
20	42	2.3807e-05
20	43	6.6557e-08
20	44	4.2084e-08
20	45	6.9034e-11
20	46	1.9792e-11
20	47	1.7438e-14
20	48	4.5172e-17
20	49	5.2498e-22
21	43	3.1457e-09
21	44	8.466e-09
21	45	4.2481e-08
21	46	9.5205e-10
21	47	4.9099e-11
21	48	4.1842e-13
21	49	3.6843e-15
21	50	5.3665e-19
21	51	3.9607e-21
22	43	5.6944e-18
22	44	1.6494e-05
22	45	2.4902e-07
22	46	8.7599e-06
22	47	1.4182e-07
22	48	1.0775e-07
22	49	1.6884e-09
22	50	3.5408e-10
22	51	5.1848e-15
22	52	1.5692e-17
22	53	3.281e-22
22	54	3.0353e-23
23	47	1.4341e-07
23	48	7.1803e-08
23	49	1.3062e-07
23	50	3.0086e-09
23	51	6.4527e-09
23	52	2.1296e-12
23	53	2.0497e-14
23	54	5.1034e-19
23	55	6.2041e-19
23	56	2.3023e-24
24	47	7.549e-16
24	48	0.00043187
24	49	2.2132e-05
24	50	0.00013357
24	51	6.2058e-07
24	52	2.1679e-06
24	53	7.8942e-10
24	54	1.0804e-10
24	55	8.1452e-12
24	56	1.4844e-11
24	57	2.9303e-13
24	58	1.4915e-12
25	51	5.1838e-05
25	52	2.2292e-06
25	53	9.389e-06
25	54	8.1598e-09
25	55	2.5359e-09
25	56	3.6886e-11
26	51	9.4121e-18
26	52	0.0090427
26	53	0.00057473
26	54	0.013695
26	55	1.6424e-05
26	56	3.4955e-05
26	57	7.1693e-08
26	58	7.2903e-07
26	59	6.1177e-07
26	60	3.5431e-06
26	61	1.6708e-07
26	62	3.3371e-07
27	54	3.1757e-19
27	55	0.0027474
27	56	9.0216e-06
27	57	2.6067e-06
27	58	3.0388e-08
27	59	1.1425e-06
27	60	1.6609e-06
27	61	2.5485e-06
27	62	4.7985e-07
28	54	4.8537e-29
28	55	2.458e-23
28	56	0.22277
28	57	0.0016377
28	58	0.001226
28	59	1.4729e-06
28	60	7.2465e-05
28	61	4.9386e-06
28	62	6.5138e-05
29	58	6.9609e-13
29	59	2.5474e-09
29	60	2.558e-10
29	61	1.1684e-08
29	62	9.1244e-08
29	63	5.7192e-06
29	64	1.05e-06
29	65	2.2693e-06
29	66	2.0718e-08
30	59	7.4724e-28
30	60	4.8131e-10
30	61	2.2843e-11
30	62	1.0345e-09
30	63	1.2598e-09
30	64	1.4683e-05
30	65	1.7107e-06
30	66	4.4712e-05
