Z	A	M
6	12	0.054974
6	13	9.5473e-07
7	13	9.5287e-11
7	14	0.00011294
7	15	8.3964e-08
7	16	2.0841e-16
8	15	2.1831e-08
8	16	0.31042
8	17	8.2726e-05
8	18	9.3757e-08
8	19	4.326e-12
9	17	4.5703e-19
9	18	1.5345e-07
9	19	2.638e-09
9	20	1.5115e-11
10	19	5.2132e-11
10	20	0.0040468
10	21	9.5398e-06
10	22	0.0013271
10	23	8.876e-07
11	21	5.895e-10
11	22	2.3535e-08
11	23	0.00040526
11	24	7.5359e-06
12	23	5.3283e-07
12	24	0.0055399
12	25	0.00043992
12	26	0.00013841
12	27	5.6768e-07
13	25	9.1006e-12
13	26	6.0567e-06
13	27	0.00049697
13	28	5.6291e-07
14	27	1.8186e-07
14	28	0.19671
14	29	0.00059265
14	30	0.00086888
14	31	1.2853e-08
14	32	1.3916e-10
14	33	1.0282e-13
15	30	2.7105e-06
15	31	0.00035555
15	32	2.0394e-07
15	33	1.9671e-07
15	34	2.3424e-12
16	31	1.441e-07
16	32	0.11979
16	33	0.00033879
16	34	0.0012474
16	35	1.1257e-07
16	36	5.0088e-08
16	37	1.0061e-14
17	35	9.1744e-05
17	36	6.4212e-07
17	37	5.9397e-07
17	38	1.1229e-12
18	35	1.0093e-08
18	36	0.024233
18	37	2.2387e-05
18	38	0.00057676
18	39	4.3409e-09
18	40	1.0394e-09
18	41	2.2167e-14
19	39	6.6542e-05
19	40	3.0266e-08
19	41	2.8928e-09
19	42	2.736e-12
19	43	6.0844e-14
19	44	1.2073e-16
20	39	4.9861e-11
20	40	0.022853
20	41	5.5513e-06
20	42	2.5798e-05
20	43	8.3996e-08
20	44	4.5337e-08
20	45	7.2733e-11
20	46	2.1198e-11
20	47	1.2989e-14
20	48	3.5285e-17
20	49	1.8749e-24
21	43	2.5421e-09
21	44	9.9625e-09
21	45	4.9183e-08
21	46	1.0748e-09
21	47	5.0707e-11
21	48	3.9163e-13
21	49	3.3366e-15
21	50	2.0659e-21
21	51	6.603e-25
22	43	1.9989e-18
22	44	1.3145e-05
22	45	2.4082e-07
22	46	8.6358e-06
22	47	1.5503e-07
22	48	1.0503e-07
22	49	1.8506e-09
22	50	3.5384e-10
22	51	1.4996e-15
22	52	1.6451e-18
22	53	5.7233e-24
22	54	6.0201e-25
23	47	9.6297e-08
23	48	5.3742e-08
23	49	1.1638e-07
23	50	3.1822e-09
23	51	6.4933e-09
23	52	1.4754e-12
23	53	9.3517e-15
23	54	1.8305e-19
23	55	3.7141e-20
23	56	1.0902e-25
24	47	1.3115e-16
24	48	0.00019043
24	49	1.3401e-05
24	50	8.0984e-05
24	51	5.0482e-07
24	52	1.2403e-06
24	53	7.9182e-10
24	54	1.4987e-10
24	55	1.4576e-11
24	56	6.2969e-12
24	57	2.4116e-13
24	58	2.1933e-13
25	51	2.717e-05
25	52	7.7593e-07
25	53	4.2308e-06
25	54	6.3912e-09
25	55	2.6371e-09
25	56	1.3805e-11
26	51	8.4668e-19
26	52	0.002512
26	53	0.00024317
26	54	0.0077405
26	55	9.764e-06
26	56	0.0001662
26	57	2.4228e-05
26	58	1.8441e-05
26	59	6.8844e-06
26	60	5.3283e-06
26	61	5.302e-07
26	62	3.0642e-07
27	54	8.8469e-20
27	55	0.0010981
27	56	3.0923e-06
27	57	1.9469e-06
27	58	1.3146e-07
27	59	2.8667e-06
27	60	7.3198e-07
27	61	5.9825e-07
27	62	2.1383e-07
28	54	4.3129e-29
28	55	1.895e-24
28	56	0.040572
28	57	0.00050579
28	58	0.0006219
28	59	2.8859e-06
28	60	8.9273e-05
28	61	4.5179e-06
28	62	6.9272e-05
29	58	9.2296e-14
29	59	7.262e-10
29	60	1.6127e-10
29	61	1.0871e-08
29	62	8.889e-08
29	63	4.321e-06
29	64	3.2234e-07
29	65	1.3365e-06
29	66	1.0102e-09
30	59	6.903e-28
30	60	6.6319e-11
30	61	6.1264e-12
30	62	1.1952e-09
30	63	1.7444e-09
30	64	1.6648e-05
30	65	1.2377e-06
30	66	4.2869e-05
