Z	A	M
6	12	0.00078995
6	13	8.3631e-09
7	13	8.0366e-07
7	14	2.1636e-09
7	15	4.1285e-08
7	16	3.3672e-26
8	15	7.4812e-07
8	16	0.046018
8	17	3.7752e-11
8	18	8.5663e-16
8	19	1.4825e-26
9	17	2.8159e-10
9	18	8.8672e-13
9	19	1.0036e-11
9	20	1.6022e-21
10	19	2.2813e-11
10	20	0.0005038
10	21	2.2357e-08
10	22	5.9455e-12
10	23	9.1868e-20
11	21	7.0072e-08
11	22	1.0942e-09
11	23	8.0036e-07
11	24	6.8718e-14
12	23	7.711e-07
12	24	0.0020891
12	25	1.4581e-06
12	26	4.8731e-08
12	27	6.8925e-15
13	25	1.1083e-06
13	26	2.7905e-07
13	27	9.1004e-06
13	28	8.9528e-12
14	27	1.3459e-06
14	28	0.13754
14	29	6.9433e-06
14	30	4.6616e-07
14	31	5.6375e-14
14	32	6.2175e-18
14	33	8.0828e-26
15	30	4.6926e-06
15	31	3.4971e-05
15	32	4.6033e-12
15	33	4.8384e-12
15	34	1.552e-18
16	31	3.4331e-06
16	32	0.10234
16	33	1.7763e-05
16	34	3.0455e-09
16	35	6.7919e-13
16	36	1.5305e-14
16	37	2.8709e-22
17	35	2.5496e-06
17	36	5.1326e-11
17	37	3.2461e-11
17	38	1.1363e-17
18	35	8.8278e-08
18	36	0.027159
18	37	3.3455e-06
18	38	4.032e-10
18	39	2.2102e-14
18	40	5.0798e-16
18	41	1.8899e-21
19	39	7.2685e-07
19	40	1.094e-12
19	41	3.1131e-14
19	42	2.6852e-19
19	43	7.1444e-23
19	44	2.4607e-27
20	39	5.9164e-10
20	40	0.034028
20	41	6.9582e-07
20	42	7.4733e-11
20	43	3.429e-11
20	44	1.0589e-15
20	45	2.6808e-19
20	46	1.6627e-21
20	47	4.4203e-26
20	48	1.6231e-28
20	49	4.8989e-29
21	43	9.0171e-08
21	44	5.3664e-13
21	45	6.8087e-11
21	46	1.1417e-17
21	47	1.9418e-20
21	48	4.0649e-24
21	49	7.1036e-27
21	50	5.0039e-29
21	51	5.0988e-29
22	43	1.0264e-13
22	44	4.0651e-05
22	45	1.4308e-07
22	46	8.6279e-12
22	47	3.1415e-11
22	48	3.7818e-13
22	49	1.4197e-16
22	50	1.7494e-20
22	51	9.3254e-25
22	52	2.5017e-28
22	53	5.2988e-29
22	54	5.3987e-29
23	47	1.1394e-08
23	48	1.457e-08
23	49	3.2136e-08
23	50	3.0679e-17
23	51	3.8783e-17
23	52	1.5081e-20
23	53	2.3853e-24
23	54	1.8817e-28
23	55	1.878e-27
23	56	5.6e-29
24	47	7.1672e-14
24	48	0.00069449
24	49	1.3746e-05
24	50	4.1219e-10
24	51	1.0335e-10
24	52	6.1354e-12
24	53	2.3072e-17
24	54	5.4794e-20
24	55	6.331e-24
24	56	1.5486e-27
24	57	1.2734e-28
24	58	5.7987e-29
25	51	4.9207e-08
25	52	1.8927e-06
25	53	9.8435e-08
25	54	1.1209e-16
25	55	2.3136e-16
25	56	1.9028e-21
26	51	4.1689e-17
26	52	0.01241
26	53	8.1179e-06
26	54	1.092e-05
26	55	1.598e-08
26	56	4.3415e-12
26	57	4.5383e-15
26	58	4.6033e-19
26	59	5.8234e-23
26	60	1.2225e-26
26	61	6.1078e-29
26	62	6.1986e-29
27	54	2.7845e-18
27	55	0.00020884
27	56	3.889e-06
27	57	1.1555e-07
27	58	1.097e-14
27	59	1.1735e-13
27	60	2.6316e-21
27	61	3.2921e-24
27	62	2.4479e-28
28	54	5.3977e-29
28	55	2.3436e-18
28	56	0.61536
28	57	0.0037755
28	58	0.00091858
28	59	5.0286e-05
28	60	4.1341e-07
28	61	1.1139e-09
28	62	1.9964e-11
29	58	0.00013628
29	59	0.00076297
29	60	0.00017655
29	61	6.7157e-06
29	62	3.8359e-09
29	63	2.4188e-09
29	64	1.0502e-18
29	65	4.8178e-17
29	66	1.688e-25
30	59	2.0043e-18
30	60	0.0090879
30	61	0.00010308
30	62	6.2111e-05
30	63	1.973e-06
30	64	2.6166e-07
30	65	2.1891e-09
30	66	2.7935e-13
