Z	A	M
6	12	0.006177
6	13	1.7293e-07
7	13	3.6736e-13
7	14	2.6229e-06
7	15	2.2753e-09
7	16	3.5036e-19
8	15	2.1495e-09
8	16	0.23428
8	17	1.3798e-06
8	18	2.1356e-09
8	19	9.9721e-14
9	17	2.2187e-20
9	18	4.1407e-09
9	19	4.8393e-10
9	20	4.1259e-12
10	19	3.1435e-12
10	20	0.0081946
10	21	3.0527e-06
10	22	0.00013742
10	23	1.1875e-07
11	21	4.0836e-11
11	22	3.3544e-08
11	23	7.7637e-05
11	24	1.266e-06
12	23	6.3097e-07
12	24	0.0067642
12	25	0.00018225
12	26	0.00025558
12	27	6.8592e-07
13	25	1.3048e-12
13	26	1.1012e-05
13	27	0.00096236
13	28	1.5499e-06
14	27	3.4771e-07
14	28	0.28328
14	29	0.0015873
14	30	0.0027699
14	31	1.6156e-07
14	32	3.2415e-09
14	33	2.6335e-13
15	30	6.1313e-06
15	31	0.00074643
15	32	1.0172e-06
15	33	8.097e-07
15	34	1.3493e-10
16	31	1.1151e-07
16	32	0.14881
16	33	0.00049692
16	34	0.0029138
16	35	1.1167e-06
16	36	6.164e-07
16	37	3.0624e-13
17	35	0.0002054
17	36	2.1452e-06
17	37	1.914e-06
17	38	1.2623e-10
18	35	6.052e-09
18	36	0.025167
18	37	2.8439e-05
18	38	0.0011363
18	39	2.5354e-08
18	40	1.439e-08
18	41	9.0479e-12
19	39	9.5963e-05
19	40	1.3793e-07
19	41	1.1622e-08
19	42	1.1478e-10
19	43	5.3656e-12
19	44	2.2121e-13
20	39	3.221e-11
20	40	0.020415
20	41	6.0659e-06
20	42	4.4474e-05
20	43	1.7151e-07
20	44	1.906e-07
20	45	6.1539e-10
20	46	4.343e-10
20	47	9.9633e-13
20	48	7.1919e-15
20	49	1.9171e-20
21	43	3.6051e-09
21	44	1.2514e-08
21	45	1.1796e-07
21	46	6.7312e-09
21	47	6.9815e-10
21	48	1.7626e-11
21	49	3.1856e-13
21	50	2.6598e-17
21	51	1.9984e-19
22	43	1.4997e-18
22	44	1.0393e-05
22	45	2.4045e-07
22	46	1.5039e-05
22	47	3.1144e-07
22	48	2.3371e-07
22	49	4.6113e-09
22	50	1.792e-09
22	51	2.7927e-14
22	52	3.0494e-16
22	53	4.2982e-21
22	54	3.5002e-22
23	47	1.7866e-07
23	48	7.0584e-08
23	49	1.7026e-07
23	50	6.4755e-09
23	51	1.0799e-08
23	52	4.0176e-12
23	53	1.4982e-13
23	54	4.3947e-18
23	55	6.0289e-18
23	56	2.6171e-21
24	47	1.483e-16
24	48	0.0002095
24	49	1.8838e-05
24	50	0.00027852
24	51	1.4114e-06
24	52	1.0216e-05
24	53	1.7605e-09
24	54	2.5729e-10
24	55	6.0837e-11
24	56	1.8369e-10
24	57	4.029e-12
24	58	1.7081e-11
25	51	5.2227e-05
25	52	1.4852e-06
25	53	1.3939e-05
25	54	2.708e-08
25	55	8.0361e-09
25	56	2.585e-10
26	51	1.4967e-18
26	52	0.003591
26	53	0.00040676
26	54	0.023154
26	55	5.4691e-05
26	56	0.00012261
26	57	1.0121e-06
26	58	5.2498e-06
26	59	4.2567e-06
26	60	3.8675e-05
26	61	2.22e-06
26	62	7.3321e-06
27	54	1.6385e-19
27	55	0.002108
27	56	9.0747e-06
27	57	7.5432e-06
27	58	6.2387e-08
27	59	6.3622e-06
27	60	9.4712e-06
27	61	2.7456e-05
27	62	4.4817e-06
28	54	4.5828e-29
28	55	4.8451e-24
28	56	0.07164
28	57	0.00096835
28	58	0.0017139
28	59	3.228e-06
28	60	0.00014279
28	61	1.893e-05
28	62	0.00027616
29	58	1.9027e-13
29	59	1.5292e-09
29	60	2.6111e-10
29	61	8.9789e-09
29	62	9.8899e-08
29	63	1.166e-05
29	64	2.5501e-06
29	65	1.512e-05
29	66	1.0141e-07
30	59	7.5011e-28
30	60	1.4335e-10
30	61	1.2804e-11
30	62	7.5559e-10
30	63	5.0261e-10
30	64	1.4847e-05
30	65	1.8592e-06
30	66	6.981e-05
