Z	A	M
6	12	0.0036777
6	13	1.4937e-08
7	13	7.3144e-13
7	14	1.5593e-07
7	15	3.7875e-10
7	16	7.9404e-20
8	15	5.8803e-09
8	16	0.14076
8	17	8.9488e-08
8	18	5.1538e-11
8	19	2.1243e-15
9	17	9.706e-21
9	18	1.805e-10
9	19	1.3075e-11
9	20	1.1917e-14
10	19	2.182e-11
10	20	0.0035514
10	21	3.481e-08
10	22	1.4965e-05
10	23	1.3412e-09
11	21	7.6631e-11
11	22	1.1353e-08
11	23	1.0388e-05
11	24	1.0661e-08
12	23	2.1992e-06
12	24	0.0084682
12	25	6.5284e-06
12	26	1.0334e-05
12	27	3.7659e-10
13	25	5.3453e-12
13	26	5.6109e-06
13	27	0.00029815
13	28	1.2901e-08
14	27	7.5246e-07
14	28	0.26987
14	29	0.00035311
14	30	0.00022548
14	31	7.1468e-10
14	32	2.5899e-12
14	33	5.9831e-18
15	30	6.9781e-06
15	31	0.00016056
15	32	3.5792e-08
15	33	2.7633e-08
15	34	5.5232e-14
16	31	2.5748e-07
16	32	0.16489
16	33	0.00026211
16	34	0.00070825
16	35	1.3342e-08
16	36	3.1334e-09
16	37	1.6771e-15
17	35	6.0125e-05
17	36	1.8318e-07
17	37	1.4622e-07
17	38	1.5077e-13
18	35	3.4766e-08
18	36	0.035815
18	37	2.2368e-05
18	38	0.0003731
18	39	8.6507e-10
18	40	7.0269e-11
18	41	2.2825e-15
19	39	5.1368e-05
19	40	7.4934e-09
19	41	7.5575e-10
19	42	1.5828e-13
19	43	2.6058e-15
19	44	2.8341e-17
20	39	2.0392e-10
20	40	0.036981
20	41	4.8124e-06
20	42	1.1325e-05
20	43	1.5751e-08
20	44	5.3941e-09
20	45	2.3185e-12
20	46	1.7873e-13
20	47	2.7515e-17
20	48	3.7088e-20
20	49	3.0673e-24
21	43	2.6444e-09
21	44	3.2898e-09
21	45	9.9428e-09
21	46	4.4835e-11
21	47	1.5666e-12
21	48	2.4777e-15
21	49	1.3968e-17
21	50	8.7416e-22
21	51	4.1221e-24
22	43	1.0398e-17
22	44	2.4135e-05
22	45	2.6865e-07
22	46	4.5649e-06
22	47	4.1943e-08
22	48	1.5543e-08
22	49	7.3962e-11
22	50	7.6412e-12
22	51	2.1001e-17
22	52	8.2387e-21
22	53	8.4645e-24
22	54	1.3056e-24
23	47	9.8246e-08
23	48	5.6927e-08
23	49	6.6111e-08
23	50	2.032e-10
23	51	8.6873e-10
23	52	9.9365e-14
23	53	1.308e-16
23	54	6.2639e-20
23	55	7.4742e-20
23	56	1.1123e-26
24	47	1.1238e-15
24	48	0.00048838
24	49	1.8846e-05
24	50	5.4821e-05
24	51	2.7037e-07
24	52	7.3148e-07
24	53	2.389e-10
24	54	1.5639e-11
24	55	1.1798e-12
24	56	9.3302e-13
24	57	7.9018e-15
24	58	2.4131e-13
25	51	3.2491e-05
25	52	1.7631e-06
25	53	5.7402e-06
25	54	3.3574e-09
25	55	1.5985e-09
25	56	5.1509e-12
26	51	1.0916e-17
26	52	0.0082493
26	53	0.00040208
26	54	0.005858
26	55	6.6871e-06
26	56	1.8491e-05
26	57	7.3196e-08
26	58	2.5512e-07
26	59	1.6076e-07
26	60	3.9325e-07
26	61	1.1424e-08
26	62	2.2259e-08
27	54	2.9861e-19
27	55	0.0016014
27	56	4.86e-06
27	57	1.2285e-06
27	58	2.6435e-08
27	59	6.0818e-07
27	60	3.5845e-07
27	61	1.9806e-07
27	62	8.1227e-08
28	54	4.5826e-29
28	55	2.3834e-23
28	56	0.16482
28	57	0.00094806
28	58	0.0005281
28	59	1.7171e-06
28	60	4.8895e-05
28	61	1.4048e-06
28	62	1.3377e-05
29	58	4.4838e-13
29	59	1.2931e-09
29	60	1.1166e-09
29	61	5.1025e-08
29	62	1.9784e-07
29	63	1.7646e-06
29	64	1.3247e-07
29	65	1.2886e-07
29	66	1.003e-09
30	59	7.2292e-28
30	60	2.7385e-10
30	61	2.6525e-11
30	62	1.9424e-08
30	63	2.3386e-08
30	64	1.3555e-05
30	65	1.1405e-06
30	66	1.497e-05
