Z	A	M
6	12	0.0027404
6	13	7.7377e-09
7	13	1.3315e-13
7	14	3.4863e-07
7	15	3.8238e-10
7	16	7.8811e-20
8	15	3.3426e-09
8	16	0.16091
8	17	1.1271e-07
8	18	1.8697e-10
8	19	6.141e-15
9	17	1.5446e-20
9	18	3.1895e-10
9	19	2.4911e-11
9	20	1.603e-13
10	19	5.8202e-12
10	20	0.0032739
10	21	1.4021e-07
10	22	2.3418e-05
10	23	1.2489e-09
11	21	2.6104e-11
11	22	1.2341e-08
11	23	1.0827e-05
11	24	4.0551e-08
12	23	1.1745e-06
12	24	0.0057104
12	25	1.0005e-05
12	26	1.3949e-05
12	27	8.2066e-09
13	25	1.5179e-12
13	26	5.0127e-06
13	27	0.00030656
13	28	2.8649e-08
14	27	3.3903e-07
14	28	0.21809
14	29	0.00033151
14	30	0.00028952
14	31	1.7334e-09
14	32	7.0564e-12
14	33	3.318e-16
15	30	4.9333e-06
15	31	0.00016126
15	32	5.1376e-08
15	33	4.6136e-08
15	34	1.2749e-13
16	31	2.3991e-07
16	32	0.14903
16	33	0.00021701
16	34	0.00049271
16	35	2.6859e-08
16	36	6.9703e-09
16	37	6.5085e-16
17	35	5.6352e-05
17	36	2.1792e-07
17	37	1.8687e-07
17	38	3.0501e-13
18	35	3.9833e-08
18	36	0.034638
18	37	1.8868e-05
18	38	0.00025429
18	39	1.4508e-09
18	40	1.4395e-10
18	41	5.6045e-15
19	39	4.9122e-05
19	40	1.0913e-08
19	41	9.5222e-10
19	42	4.4443e-13
19	43	7.4021e-15
19	44	4.7192e-17
20	39	2.4565e-10
20	40	0.037592
20	41	5.2427e-06
20	42	1.0662e-05
20	43	2.5657e-08
20	44	8.2376e-09
20	45	7.6666e-12
20	46	9.9091e-13
20	47	3.215e-16
20	48	4.6847e-19
20	49	4.798e-24
21	43	2.5644e-09
21	44	4.9213e-09
21	45	1.4233e-08
21	46	1.2683e-10
21	47	4.104e-12
21	48	1.4476e-14
21	49	9.8906e-17
21	50	5.0874e-21
21	51	2.7985e-23
22	43	1.3684e-17
22	44	2.6364e-05
22	45	3.2869e-07
22	46	4.0055e-06
22	47	4.2877e-08
22	48	2.1692e-08
22	49	2.3318e-10
22	50	2.3747e-11
22	51	1.6794e-16
22	52	1.338e-19
22	53	3.2975e-24
22	54	9.901e-25
23	47	1.0096e-07
23	48	7.1661e-08
23	49	7.8112e-08
23	50	4.7686e-10
23	51	1.4294e-09
23	52	3.5632e-13
23	53	1.0355e-15
23	54	4.0219e-20
23	55	8.2791e-20
23	56	8.6801e-26
24	47	1.6667e-15
24	48	0.00060205
24	49	2.1114e-05
24	50	5.4224e-05
24	51	2.4994e-07
24	52	3.7284e-07
24	53	2.2367e-10
24	54	2.603e-11
24	55	1.2472e-12
24	56	1.2555e-12
24	57	6.7124e-15
24	58	2.2464e-13
25	51	3.7852e-05
25	52	2.4998e-06
25	53	6.9721e-06
25	54	2.202e-09
25	55	7.4573e-10
25	56	9.0916e-12
26	51	1.8389e-17
26	52	0.011518
26	53	0.00051413
26	54	0.0064347
26	55	6.395e-06
26	56	1.1876e-05
26	57	7.4656e-08
26	58	4.5824e-07
26	59	1.9952e-07
26	60	5.6028e-07
26	61	5.5314e-09
26	62	2.1044e-08
27	54	3.0463e-19
27	55	0.0021054
27	56	7.4324e-06
27	57	1.2761e-06
27	58	3.8481e-08
27	59	9.1001e-07
27	60	6.2237e-07
27	61	4.7345e-07
27	62	9.032e-08
28	54	4.8533e-29
28	55	3.3176e-23
28	56	0.26215
28	57	0.0013768
28	58	0.00063567
28	59	1.6874e-06
28	60	4.3014e-05
28	61	2.383e-06
28	62	1.8591e-05
29	58	8.0857e-13
29	59	1.9245e-09
29	60	4.6309e-10
29	61	2.7259e-08
29	62	1.5075e-07
29	63	2.6904e-06
29	64	2.8423e-07
29	65	3.2854e-07
29	66	2.3437e-09
30	59	7.4869e-28
30	60	4.9345e-10
30	61	1.8895e-11
30	62	5.2627e-09
30	63	7.022e-09
30	64	1.3079e-05
30	65	1.2393e-06
30	66	1.7216e-05
