Z	A	M
6	12	0.00078673
6	13	1.0938e-11
7	13	5.2119e-12
7	14	4.8345e-10
7	15	1.9201e-11
7	16	1.9804e-26
8	15	3.4294e-10
8	16	0.05065
8	17	1.0002e-10
8	18	1.0529e-14
8	19	1.7873e-22
9	17	1.1219e-17
9	18	5.1137e-12
9	19	6.6396e-13
9	20	3.8108e-18
10	19	3.9965e-13
10	20	0.00049177
10	21	7.452e-09
10	22	9.2252e-06
10	23	1.5776e-16
11	21	3.3234e-12
11	22	2.067e-09
11	23	2.0102e-06
11	24	3.0884e-11
12	23	2.136e-07
12	24	0.00089361
12	25	1.6196e-06
12	26	3.1951e-06
12	27	2.4663e-11
13	25	2.0921e-12
13	26	8.565e-07
13	27	5.7247e-05
13	28	6.1972e-09
14	27	4.8562e-08
14	28	0.15989
14	29	0.00011386
14	30	0.00010659
14	31	6.2032e-10
14	32	2.0853e-12
14	33	1.186e-19
15	30	1.1885e-06
15	31	7.9736e-05
15	32	2.2145e-08
15	33	1.6407e-08
15	34	8.8453e-14
16	31	1.2712e-07
16	32	0.10744
16	33	0.00011946
16	34	0.0006359
16	35	1.7305e-08
16	36	3.0244e-09
16	37	1.9205e-16
17	35	5.1827e-05
17	36	1.261e-07
17	37	9.9335e-08
17	38	3.2268e-13
18	35	2.9304e-08
18	36	0.024317
18	37	1.6096e-05
18	38	0.00045625
18	39	1.3673e-09
18	40	1.1404e-10
18	41	9.0696e-15
19	39	5.4024e-05
19	40	1.0163e-08
19	41	7.1194e-10
19	42	4.1887e-13
19	43	5.6881e-15
19	44	8.2916e-18
20	39	1.7965e-10
20	40	0.025418
20	41	4.1218e-06
20	42	1.6275e-05
20	43	2.3115e-08
20	44	7.9858e-09
20	45	8.8445e-12
20	46	1.1678e-12
20	47	9.1038e-16
20	48	1.5177e-18
20	49	4.1366e-23
21	43	2.4087e-07
21	44	4.3084e-09
21	45	1.4189e-08
21	46	1.2349e-10
21	47	4.898e-12
21	48	2.2492e-14
21	49	1.7726e-16
21	50	8.0738e-20
21	51	2.6931e-22
22	43	8.7495e-14
22	44	2.6898e-05
22	45	2.4986e-07
22	46	6.8982e-06
22	47	8.3875e-08
22	48	3.611e-08
22	49	2.9635e-10
22	50	3.8629e-11
22	51	2.1825e-15
22	52	3.8504e-18
22	53	8.82e-23
22	54	1.2118e-25
23	47	2.028e-07
23	48	4.9105e-08
23	49	9.7232e-08
23	50	7.0062e-10
23	51	2.2124e-09
23	52	1.4377e-12
23	53	6.9974e-15
23	54	1.3565e-19
23	55	5.0819e-20
23	56	8.2255e-29
24	47	5.0274e-14
24	48	0.00048511
24	49	2.2911e-05
24	50	9.3757e-05
24	51	5.1918e-07
24	52	2.0176e-06
24	53	6.9653e-10
24	54	4.1901e-11
24	55	1.3912e-14
24	56	4.4951e-14
24	57	3.9911e-17
24	58	1.2836e-13
25	51	5.1183e-05
25	52	2.1279e-06
25	53	9.5756e-06
25	54	8.3584e-09
25	55	2.8715e-09
25	56	1.2096e-12
26	51	1.0324e-17
26	52	0.0099089
26	53	0.0006187
26	54	0.011114
26	55	1.2027e-05
26	56	2.7897e-05
26	57	6.1468e-09
26	58	1.7758e-08
26	59	2.1243e-09
26	60	3.2805e-08
26	61	2.687e-11
26	62	1.3236e-09
27	54	8.0443e-20
27	55	0.0030006
27	56	1.1239e-05
27	57	2.3053e-06
27	58	7.1598e-09
27	59	6.9527e-08
27	60	7.4075e-08
27	61	1.174e-07
27	62	1.2775e-08
28	54	5.397e-29
28	55	6.0977e-22
28	56	0.57186
28	57	0.008785
28	58	0.0067084
28	59	1.8879e-05
28	60	2.7883e-05
28	61	4.0912e-07
28	62	9.2741e-06
29	58	1.8934e-07
29	59	0.00026083
29	60	0.00016649
29	61	1.5526e-05
29	62	1.3354e-07
29	63	7.9409e-07
29	64	1.4948e-07
29	65	2.094e-07
29	66	5.5693e-09
30	59	1.6389e-24
30	60	0.0083495
30	61	0.00023237
30	62	0.0012315
30	63	2.7532e-07
30	64	2.9658e-06
30	65	4.12e-07
30	66	1.4647e-05
