6 12	2.02e-01
6 13	2.55e-07
7 14	5.46e-05
7 15	6.20e-08
8 16	4.98e-01
8 17	1.01e-05
8 18	9.61e-08
9 19	1.02e-07
10 20	5.32e-02
10 21	6.77e-06
10 22	3.84e-03
11 23	7.07e-04
12 24	8.68e-02
12 25	7.56e-04
12 26	9.26e-04
13 27	3.94e-03
14 28	3.58e-01
14 29	2.35e-03
14 30	4.45e-03
15 31	1.16e-03
16 32	1.33e-01
16 33	4.28e-04
16 34	2.31e-03
16 36	1.52e-06
17 35	2.56e-04
17 37	2.59e-05
18 26	2.09e-02
18 38	9.02e-04
18 40	7.93e-07
19 39	8.05e-05
19 41	4.70e-06
20 40	1.73e-02
20 42	1.89e-05
20 43	6.14e-07
20 44	1.06e-05
20 46	3.68e-07
20 48	7.33e-08
21 45	1.16e-06
21 46	1.20e-05
22 47	1.86e-06
22 48	3.04e-04
22 49	1.96e-05
22 50	3.76e-07
23 50	1.95e-07
23 51	5.69e-05
24 50	2.03e-04
24 52	6.70e-03
24 53	5.11e-04
24 54	1.26e-06
25 55	2.76e-03
26 54	1.59e-02
26 56	1.84e-01
26 57	1.74e-03
26 58	3.70e-05
27 59	4.82e-05
28 58	1.60e-03
28 60	3.56e-04
28 61	1.07e-04
28 62	2.55e-04
28 64	1.36e-05
29 63	7.23e-05
29 65	1.78e-05
30 64	2.89e-05
30 66	3.65e-05
30 67	3.87e-06
30 68	2.49e-06
30 70	1.17e-07
