Z	A	M
6	12	0.0069712
6	13	1.9474e-08
7	13	1.4127e-12
7	14	2.4674e-06
7	15	2.3308e-09
7	16	3.5233e-19
8	15	1.6738e-08
8	16	0.24479
8	17	7.5205e-07
8	18	1.355e-09
8	19	3.2659e-14
9	17	4.7979e-20
9	18	6.6563e-09
9	19	1.868e-10
9	20	5.553e-13
10	19	5.4473e-11
10	20	0.010126
10	21	8.8092e-07
10	22	3.2241e-05
10	23	3.7711e-09
11	21	1.6892e-10
11	22	3.8245e-08
11	23	3.7039e-05
11	24	1.5812e-07
12	23	3.1429e-06
12	24	0.013775
12	25	4.1161e-05
12	26	5.6362e-05
12	27	5.0148e-08
13	25	7.6438e-12
13	26	1.4664e-05
13	27	0.00069879
13	28	1.3067e-07
14	27	1.4876e-06
14	28	0.27133
14	29	0.00059622
14	30	0.00054109
14	31	4.8019e-09
14	32	4.7872e-11
14	33	8.6515e-15
15	30	1.3213e-05
15	31	0.00025816
15	32	8.6348e-08
15	33	7.9865e-08
15	34	1.3069e-12
16	31	2.6803e-07
16	32	0.15099
16	33	0.00029525
16	34	0.00057481
16	35	3.6536e-08
16	36	1.1745e-08
16	37	5.6618e-15
17	35	6.3447e-05
17	36	3.0515e-07
17	37	2.6921e-07
17	38	5.6234e-13
18	35	2.2912e-08
18	36	0.028688
18	37	1.6913e-05
18	38	0.00023791
18	39	1.6067e-09
18	40	1.8779e-10
18	41	8.5828e-15
19	39	3.4991e-05
19	40	1.2057e-08
19	41	1.1907e-09
19	42	5.6524e-13
19	43	1.0341e-14
19	44	8.4957e-17
20	39	1.1951e-10
20	40	0.025435
20	41	3.4313e-06
20	42	9.1416e-06
20	43	2.7725e-08
20	44	9.9056e-09
20	45	9.1206e-12
20	46	1.3267e-12
20	47	3.8084e-16
20	48	6.6156e-19
20	49	3.6165e-24
21	43	1.7245e-09
21	44	4.7114e-09
21	45	1.4864e-08
21	46	1.5545e-10
21	47	4.9598e-12
21	48	1.8768e-14
21	49	1.2848e-16
21	50	1.5591e-21
21	51	7.7148e-24
22	43	5.3838e-18
22	44	1.3829e-05
22	45	1.4341e-07
22	46	2.9227e-06
22	47	4.0038e-08
22	48	2.2024e-08
22	49	2.5163e-10
22	50	2.6233e-11
22	51	8.8297e-17
22	52	4.8487e-20
22	53	4.8289e-23
22	54	1.7183e-24
23	47	7.9764e-08
23	48	4.5569e-08
23	49	5.5946e-08
23	50	4.8945e-10
23	51	1.4706e-09
23	52	2.6856e-13
23	53	6.9892e-16
23	54	2.0741e-19
23	55	1.7094e-19
23	56	7.2183e-24
24	47	5.4159e-16
24	48	0.00029527
24	49	1.3358e-05
24	50	5.3322e-05
24	51	1.8172e-07
24	52	2.4383e-07
24	53	2.0424e-10
24	54	4.8731e-11
24	55	1.1255e-11
24	56	7.1221e-12
24	57	1.8351e-13
24	58	5.5596e-13
25	51	2.5671e-05
25	52	1.1277e-06
25	53	3.6234e-06
25	54	1.5239e-09
25	55	7.5681e-10
25	56	3.0996e-11
26	51	4.8558e-18
26	52	0.0045877
26	53	0.00026806
26	54	0.0052163
26	55	3.143e-06
26	56	1.1944e-05
26	57	5.6912e-07
26	58	3.0987e-06
26	59	1.9944e-06
26	60	3.3632e-06
26	61	1.7384e-07
26	62	1.6075e-07
27	54	1.848e-19
27	55	0.001086
27	56	3.3502e-06
27	57	1.1572e-06
27	58	1.8745e-07
27	59	4.2409e-06
27	60	2.2853e-06
27	61	1.2164e-06
27	62	3.138e-07
28	54	4.5806e-29
28	55	1.0104e-23
28	56	0.081465
28	57	0.00056257
28	58	0.00040715
28	59	4.978e-06
28	60	7.3419e-05
28	61	5.4524e-06
28	62	2.603e-05
29	58	1.9764e-13
29	59	7.4767e-10
29	60	1.4586e-09
29	61	8.23e-08
29	62	4.1251e-07
29	63	4.0719e-06
29	64	3.3237e-07
29	65	3.5283e-07
29	66	1.3605e-09
30	59	7.2118e-28
30	60	1.2589e-10
30	61	1.8731e-11
30	62	1.785e-08
30	63	2.3499e-08
30	64	1.8857e-05
30	65	1.4163e-06
30	66	1.4986e-05
