Z	A	M
6	12	0.006831
6	13	1.1852e-07
7	13	7.2221e-13
7	14	1.1562e-06
7	15	1.0105e-09
7	16	4.3403e-19
8	15	1.9988e-09
8	16	0.18802
8	17	5.9529e-07
8	18	8.8448e-10
8	19	4.9299e-14
9	17	6.5313e-20
9	18	1.7913e-09
9	19	1.7467e-10
9	20	1.4203e-12
10	19	6.3914e-12
10	20	0.0063751
10	21	1.0578e-06
10	22	0.00012043
10	23	4.4414e-08
11	21	5.5539e-11
11	22	2.2911e-08
11	23	4.2679e-05
11	24	4.7728e-07
12	23	1.1194e-06
12	24	0.0086562
12	25	7.5281e-05
12	26	0.00010876
12	27	2.236e-07
13	25	2.6679e-12
13	26	1.128e-05
13	27	0.00086975
13	28	5.2686e-07
14	27	5.4851e-07
14	28	0.33802
14	29	0.0011813
14	30	0.0021322
14	31	4.303e-08
14	32	6.7849e-10
14	33	1.4523e-13
15	30	7.9399e-06
15	31	0.00068722
15	32	4.813e-07
15	33	4.4517e-07
15	34	2.6057e-11
16	31	6.24e-08
16	32	0.15433
16	33	0.0006396
16	34	0.0042175
16	35	3.9719e-07
16	36	1.8176e-07
16	37	1.9293e-13
17	35	0.00022625
17	36	1.546e-06
17	37	1.3947e-06
17	38	3.0441e-11
18	35	2.8252e-09
18	36	0.022582
18	37	4.5159e-05
18	38	0.002077
18	39	1.311e-08
18	40	4.4096e-09
18	41	1.595e-12
19	39	0.00014055
19	40	9.348e-08
19	41	7.581e-09
19	42	2.1921e-11
19	43	7.3037e-13
19	44	3.0287e-14
20	39	1.2187e-11
20	40	0.015446
20	41	8.5427e-06
20	42	6.2866e-05
20	43	1.5367e-07
20	44	1.7955e-07
20	45	3.0598e-10
20	46	1.2915e-10
20	47	1.6242e-13
20	48	5.6227e-16
20	49	7.7785e-21
21	43	4.8523e-09
21	44	1.4954e-08
21	45	1.2659e-07
21	46	4.101e-09
21	47	2.8159e-10
21	48	3.3743e-12
21	49	3.5779e-14
21	50	7.0423e-18
21	51	5.2883e-20
22	43	4.306e-19
22	44	6.4222e-06
22	45	2.5014e-07
22	46	2.4371e-05
22	47	5.22e-07
22	48	4.7322e-07
22	49	6.1456e-09
22	50	1.9948e-09
22	51	3.1737e-14
22	52	1.5915e-16
22	53	2.1328e-21
22	54	2.5905e-22
23	47	1.4289e-07
23	48	7.1819e-08
23	49	2.588e-07
23	50	1.1257e-08
23	51	2.5442e-08
23	52	7.3979e-12
23	53	1.3864e-13
23	54	2.8497e-18
23	55	3.9203e-18
23	56	8.3659e-24
24	47	3.1578e-17
24	48	9.0819e-05
24	49	1.1623e-05
24	50	0.00029165
24	51	2.7942e-06
24	52	3.1899e-05
24	53	6.3002e-09
24	54	4.4493e-10
24	55	2.269e-11
24	56	5.2142e-11
24	57	1.8938e-12
24	58	1.1934e-11
25	51	3.4542e-05
25	52	1.0178e-06
25	53	2.2327e-05
25	54	7.9354e-08
25	55	2.7109e-08
25	56	1.0326e-10
26	51	2.5017e-19
26	52	0.0012969
26	53	0.00021414
26	54	0.020124
26	55	0.00010096
26	56	0.00028146
26	57	5.2663e-07
26	58	1.8273e-06
26	59	1.7377e-06
26	60	1.1895e-05
26	61	9.5943e-07
26	62	2.5579e-06
27	54	5.4677e-20
27	55	0.0011318
27	56	6.6848e-06
27	57	1.2434e-05
27	58	5.5303e-08
27	59	2.0421e-06
27	60	4.7083e-06
27	61	9.0082e-06
27	62	2.6657e-06
28	54	4.311e-29
28	55	8.2014e-25
28	56	0.020937
28	57	0.00043818
28	58	0.0012916
28	59	3.8217e-06
28	60	0.00018797
28	61	1.2108e-05
28	62	0.00018266
29	58	4.876e-14
29	59	6.6774e-10
29	60	2.0178e-10
29	61	1.7208e-08
29	62	1.5497e-07
29	63	1.2794e-05
29	64	2.8474e-06
29	65	8.5198e-06
29	66	8.6137e-08
30	59	7.0368e-28
30	60	3.6454e-11
30	61	5.1642e-12
30	62	1.0584e-09
30	63	1.4484e-09
30	64	2.5113e-05
30	65	3.2381e-06
30	66	0.00010752
