Z	A	M
6	12	0.0066933
6	13	4.4872e-09
7	13	3.0786e-12
7	14	6.3705e-07
7	15	1.1749e-09
7	16	4.2767e-19
8	15	1.3663e-08
8	16	0.18339
8	17	1.723e-07
8	18	4.0918e-10
8	19	7.1492e-15
9	17	8.227e-20
9	18	2.7383e-09
9	19	8.5345e-11
9	20	1.4416e-13
10	19	6.3596e-11
10	20	0.0069136
10	21	3.091e-07
10	22	1.6331e-05
10	23	2.2748e-10
11	21	2.1152e-10
11	22	1.9614e-08
11	23	2.1111e-05
11	24	3.2517e-08
12	23	3.9527e-06
12	24	0.015724
12	25	1.7828e-05
12	26	2.7102e-05
12	27	1.7039e-08
13	25	1.3008e-11
13	26	1.0744e-05
13	27	0.00053696
13	28	5.4096e-08
14	27	2.1448e-06
14	28	0.33634
14	29	0.00053414
14	30	0.00036969
14	31	1.8264e-09
14	32	2.0494e-11
14	33	5.0953e-15
15	30	1.2713e-05
15	31	0.00022685
15	32	5.6686e-08
15	33	4.8166e-08
15	34	5.909e-13
16	31	2.6547e-07
16	32	0.16063
16	33	0.00034619
16	34	0.00087365
16	35	1.732e-08
16	36	5.7263e-09
16	37	4.869e-15
17	35	6.767e-05
17	36	2.6128e-07
17	37	2.1686e-07
17	38	2.1595e-13
18	35	1.2052e-08
18	36	0.026688
18	37	2.442e-05
18	38	0.00041503
18	39	9.1389e-10
18	40	1.0282e-10
18	41	2.7356e-15
19	39	5.0268e-05
19	40	7.9839e-09
19	41	9.9592e-10
19	42	2.1802e-13
19	43	3.6813e-15
19	44	2.9652e-17
20	39	5.3121e-11
20	40	0.02068
20	41	4.2835e-06
20	42	1.1227e-05
20	43	1.708e-08
20	44	7.8952e-09
20	45	3.3535e-12
20	46	3.1351e-13
20	47	4.3439e-17
20	48	7.1407e-20
20	49	2.1964e-24
21	43	2.4284e-09
21	44	3.2607e-09
21	45	1.1569e-08
21	46	6.573e-11
21	47	2.2617e-12
21	48	4.0746e-15
21	49	2.4365e-17
21	50	4.9309e-22
21	51	2.199e-24
22	43	1.9014e-18
22	44	9.5882e-06
22	45	1.7669e-07
22	46	4.4461e-06
22	47	4.3799e-08
22	48	1.8796e-08
22	49	9.7438e-11
22	50	1.1475e-11
22	51	1.7927e-17
22	52	5.9118e-21
22	53	3.1034e-23
22	54	1.5482e-24
23	47	6.8024e-08
23	48	2.7327e-08
23	49	4.3004e-08
23	50	2.5205e-10
23	51	1.1006e-09
23	52	1.0151e-13
23	53	1.3791e-16
23	54	1.3443e-19
23	55	1.2139e-19
23	56	1.8751e-24
24	47	1.5112e-16
24	48	0.00015346
24	49	9.2176e-06
24	50	5.8838e-05
24	51	2.8311e-07
24	52	1.2902e-06
24	53	3.3656e-10
24	54	2.9001e-11
24	55	4.8464e-12
24	56	2.8485e-12
24	57	1.3078e-13
24	58	4.3975e-13
25	51	1.8544e-05
25	52	5.6607e-07
25	53	3.2698e-06
25	54	4.7483e-09
25	55	2.2691e-09
25	56	1.095e-11
26	51	1.0623e-18
26	52	0.0020137
26	53	0.00016205
26	54	0.0048954
26	55	8.8613e-06
26	56	2.467e-05
26	57	1.7969e-07
26	58	1.0141e-06
26	59	8.3157e-07
26	60	1.2829e-06
26	61	1.1295e-07
26	62	7.5573e-08
27	54	7.184e-20
27	55	0.00067551
27	56	1.9958e-06
27	57	1.5206e-06
27	58	6.1824e-08
27	59	1.4731e-06
27	60	7.7346e-07
27	61	3.7282e-07
27	62	1.5918e-07
28	54	4.3131e-29
28	55	2.2734e-24
28	56	0.03039
28	57	0.00030328
28	58	0.0003503
28	59	3.2416e-06
28	60	6.6993e-05
28	61	2.5519e-06
28	62	1.8306e-05
29	58	6.658e-14
29	59	4.0844e-10
29	60	2.2892e-09
29	61	1.0257e-07
29	62	3.9704e-07
29	63	2.7309e-06
29	64	1.7859e-07
29	65	1.7146e-07
29	66	8.5755e-10
30	59	7.217e-28
30	60	4.3574e-11
30	61	4.2839e-11
30	62	4.2895e-08
30	63	5.2602e-08
30	64	2.0511e-05
30	65	1.5287e-06
30	66	1.6636e-05
