Z	A	M
6	12	0.0065324
6	13	7.4628e-08
7	13	7.8535e-13
7	14	2.4499e-06
7	15	1.9311e-09
7	16	3.5504e-19
8	15	6.8296e-09
8	16	0.23782
8	17	1.0929e-06
8	18	1.4888e-09
8	19	6.037e-14
9	17	6.2388e-20
9	18	5.2727e-09
9	19	2.3934e-10
9	20	1.284e-12
10	19	1.6625e-11
10	20	0.0093282
10	21	1.3888e-06
10	22	6.1839e-05
10	23	2.948e-08
11	21	9.2105e-11
11	22	4.0231e-08
11	23	5.1316e-05
11	24	4.1134e-07
12	23	1.4769e-06
12	24	0.010229
12	25	8.6606e-05
12	26	0.00012066
12	27	1.4804e-07
13	25	3.5412e-12
13	26	1.5153e-05
13	27	0.0008762
13	28	4.2698e-07
14	27	6.8609e-07
14	28	0.27802
14	29	0.00090558
14	30	0.0012711
14	31	2.6682e-08
14	32	3.6383e-10
14	33	4.4999e-14
15	30	9.752e-06
15	31	0.00044601
15	32	2.6956e-07
15	33	2.394e-07
15	34	1.287e-11
16	31	1.5679e-07
16	32	0.1534
16	33	0.00038236
16	34	0.0012956
16	35	1.7693e-07
16	36	6.7994e-08
16	37	5.2513e-14
17	35	0.00011494
17	36	7.6366e-07
17	37	6.6834e-07
17	38	7.8873e-12
18	35	1.2365e-08
18	36	0.028014
18	37	2.0769e-05
18	38	0.00049961
18	39	5.4581e-09
18	40	1.2848e-09
18	41	2.5414e-13
19	39	5.5198e-05
19	40	3.8766e-08
19	41	3.0417e-09
19	42	4.7143e-12
19	43	1.3106e-13
19	44	3.6607e-15
20	39	6.4542e-11
20	40	0.023968
20	41	4.2808e-06
20	42	2.0101e-05
20	43	7.4102e-08
20	44	4.8312e-08
20	45	7.8902e-11
20	46	2.3623e-11
20	47	1.6954e-14
20	48	4.4487e-17
20	49	2.621e-22
21	43	2.5159e-09
21	44	8.937e-09
21	45	4.6966e-08
21	46	1.1381e-09
21	47	5.5749e-11
21	48	4.4999e-13
21	49	3.7607e-15
21	50	2.1253e-19
21	51	1.4965e-21
22	43	2.9256e-18
22	44	1.2671e-05
22	45	1.8895e-07
22	46	6.4206e-06
22	47	1.3006e-07
22	48	1.0487e-07
22	49	1.7753e-09
22	50	3.5443e-10
22	51	2.7385e-15
22	52	6.5322e-18
22	53	4.6468e-22
22	54	3.3496e-23
23	47	1.2341e-07
23	48	5.3066e-08
23	49	1.0983e-07
23	50	3.056e-09
23	51	6.0955e-09
23	52	1.5492e-12
23	53	1.2836e-14
23	54	1.0107e-18
23	55	1.3621e-18
23	56	2.9709e-23
24	47	2.8995e-16
24	48	0.00025544
24	49	1.6346e-05
24	50	0.0001212
24	51	4.4063e-07
24	52	1.2158e-06
24	53	6.3214e-10
24	54	1.372e-10
24	55	3.0217e-11
24	56	4.2312e-11
24	57	1.0884e-12
24	58	4.2067e-12
25	51	3.7864e-05
25	52	1.198e-06
25	53	5.4792e-06
25	54	4.9886e-09
25	55	1.8488e-09
25	56	9.2185e-11
26	51	2.7383e-18
26	52	0.0041194
26	53	0.000338
26	54	0.011236
26	55	1.0399e-05
26	56	2.6629e-05
26	57	6.7252e-07
26	58	3.841e-06
26	59	3.1436e-06
26	60	1.2995e-05
26	61	7.9257e-07
26	62	1.4527e-06
27	54	1.8919e-19
27	55	0.0015571
27	56	5.1456e-06
27	57	1.7849e-06
27	58	1.0576e-07
27	59	4.7315e-06
27	60	5.8287e-06
27	61	6.5991e-06
27	62	1.5457e-06
28	54	4.584e-29
28	55	7.7702e-24
28	56	0.076585
28	57	0.00074678
28	58	0.00085418
28	59	2.5486e-06
28	60	9.714e-05
28	61	1.255e-05
28	62	9.598e-05
29	58	1.9283e-13
29	59	1.0866e-09
29	60	3.3778e-10
29	61	3.4038e-08
29	62	2.7019e-07
29	63	9.6319e-06
29	64	1.5714e-06
29	65	3.0332e-06
29	66	1.9183e-08
30	59	7.1845e-28
30	60	1.3347e-10
30	61	9.2275e-12
30	62	2.4905e-09
30	63	3.7977e-09
30	64	2.2914e-05
30	65	2.4283e-06
30	66	4.7837e-05
