6	12	0.00385
6	13	2.17e-08
7	14	3.98e-06
7	15	4.66e-09
8	16	0.124
8	17	5.14e-07
8	18	4.61e-09
9	19	5.68e-11
10	20	0.00433
10	21	5.17e-07
10	22	5.51e-05
11	23	4.68e-05
12	24	0.0183
12	25	8.02e-05
12	26	0.000119
13	27	0.000832
14	28	0.355
14	29	0.00125
14	30	0.00286
15	31	0.000709
16	32	0.138
16	33	0.000421
16	34	0.00502
16	36	3.05e-07
17	35	0.000227
17	37	4.49e-05
18	36	0.0217
18	38	0.00248
18	40	6.6e-09
19	39	0.000139
19	41	7.87e-06
20	40	0.0175
20	42	5.44e-05
20	43	7.44e-08
20	44	1.11e-05
20	46	6.06e-11
20	48	3.04e-15
21	45	2.51e-07
22	46	2.75e-05
22	47	8.51e-07
22	48	0.000336
22	49	2.76e-05
22	50	6.88e-10
23	50	3.84e-09
23	51	0.000101
24	50	0.000463
24	52	0.00802
24	53	0.000998
24	54	1.11e-05
25	55	0.0133
26	54	0.057
26	56	0.533
26	57	0.0143
26	58	1.27e-07
27	59	0.000148
28	58	0.0381
28	60	0.000764
28	61	3.09e-05
28	62	0.000246
28	64	5.26e-14
29	63	1.72e-07
29	65	6.04e-08
30	64	9.19e-07
30	66	1.44e-06
30	67	8.79e-10
30	68	5.26e-10
30	70	5.97e-24
