Z	A	M
6	12	0.0067816
6	13	1.1323e-09
7	13	1.1656e-07
7	14	4.6712e-08
7	15	1.7629e-07
7	16	8.5941e-24
8	15	3.2683e-06
8	16	0.18011
8	17	1.0293e-09
8	18	1.2122e-13
8	19	2.2251e-23
9	17	1.3471e-11
9	18	1.2486e-10
9	19	5.6497e-10
9	20	5.0381e-19
10	19	1.2936e-09
10	20	0.0071917
10	21	1.9778e-08
10	22	3.3191e-10
10	23	1.3083e-17
11	21	3.154e-08
11	22	2.0529e-08
11	23	1.012e-05
11	24	2.2377e-12
12	23	8.8634e-06
12	24	0.019946
12	25	8.2999e-07
12	26	8.1788e-07
12	27	2.0569e-13
13	25	2.8063e-07
13	26	3.799e-06
13	27	9.9475e-05
13	28	1.4468e-10
14	27	1.2474e-05
14	28	0.24889
14	29	5.9351e-05
14	30	4.8697e-06
14	31	9.4917e-13
14	32	7.6589e-17
14	33	4.3624e-24
15	30	3.3153e-05
15	31	0.00013079
15	32	4.7169e-11
15	33	2.8008e-11
15	34	1.1573e-17
16	31	1.2458e-05
16	32	0.15216
16	33	7.6485e-05
16	34	2.9067e-08
16	35	4.5444e-12
16	36	8.5991e-14
16	37	3.6509e-21
17	35	2.9e-06
17	36	2.7619e-10
17	37	1.2538e-10
17	38	4.7292e-17
18	35	8.8929e-08
18	36	0.036996
18	37	7.9581e-06
18	38	1.7373e-09
18	39	6.7899e-14
18	40	1.6481e-15
18	41	7.903e-21
19	39	6.5095e-07
19	40	3.594e-12
19	41	6.5264e-14
19	42	5.3144e-19
19	43	1.8397e-22
19	44	1.1151e-26
20	39	5.4255e-10
20	40	0.045184
20	41	9.5511e-07
20	42	3.5611e-10
20	43	3.6712e-13
20	44	3.3933e-15
20	45	6.7475e-19
20	46	7.8512e-21
20	47	4.6246e-25
20	48	8.1374e-28
20	49	3.9193e-29
21	43	8.2181e-11
21	44	1.3037e-12
21	45	7.9388e-11
21	46	2.7544e-17
21	47	4.8087e-20
21	48	1.891e-23
21	49	1.1238e-26
21	50	3.9993e-29
21	51	4.0793e-29
22	43	2.9888e-17
22	44	3.6379e-05
22	45	1.6995e-07
22	46	2.2682e-11
22	47	1.5124e-12
22	48	1.1825e-12
22	49	2.8969e-16
22	50	3.6352e-20
22	51	3.1233e-24
22	52	1.2926e-27
22	53	4.2393e-29
22	54	4.3206e-29
23	47	5.1922e-10
23	48	2.1377e-08
23	49	2.7921e-08
23	50	4.4845e-17
23	51	3.1709e-17
23	52	1.6589e-20
23	53	3.643e-24
23	54	3.3087e-28
23	55	1.2788e-26
23	56	4.4819e-29
24	47	2.4426e-15
24	48	0.00056058
24	49	1.2132e-05
24	50	5.7939e-10
24	51	2.4607e-11
24	52	6.1521e-12
24	53	9.891e-17
24	54	3.2446e-20
24	55	4.131e-24
24	56	3.8862e-27
24	57	4.5613e-29
24	58	4.6398e-29
25	51	1.1769e-08
25	52	9.0791e-07
25	53	1.8936e-07
25	54	1.2379e-16
25	55	4.0517e-17
25	56	3.3521e-22
26	51	1.3648e-17
26	52	0.006027
26	53	1.5947e-05
26	54	1.0132e-05
26	55	5.7546e-09
26	56	2.7156e-12
26	57	3.8123e-16
26	58	2.868e-19
26	59	4.0139e-24
26	60	3.2134e-27
26	61	4.8791e-29
26	62	4.9591e-29
27	54	2.0328e-17
27	55	8.0229e-05
27	56	8.2045e-07
27	57	9.1056e-09
27	58	2.823e-14
27	59	9.5257e-15
27	60	1.8557e-21
27	61	2.9095e-25
27	62	8.9501e-29
28	54	4.3152e-29
28	55	1.3872e-18
28	56	0.095077
28	57	0.00028134
28	58	1.3344e-05
28	59	2.6455e-07
28	60	2.6315e-10
28	61	5.4368e-14
28	62	4.8333e-17
29	58	1.8068e-07
29	59	3.8116e-06
29	60	9.8248e-08
29	61	3.3921e-10
29	62	8.581e-15
29	63	2.4907e-15
29	64	2.8206e-22
29	65	1.1149e-23
29	66	3.9594e-28
30	59	1.4712e-22
30	60	5.167e-06
30	61	5.0798e-09
30	62	2.3106e-10
30	63	2.0463e-12
30	64	1.8517e-15
30	65	5.0474e-18
30	66	1.6366e-19
