Z	A	M
6	12	0.00070849
6	13	4.2709e-11
7	13	2.4765e-12
7	14	2.2277e-09
7	15	1.9666e-11
7	16	2.0703e-25
8	15	3.4545e-10
8	16	0.077502
8	17	5.4721e-10
8	18	1.3838e-13
8	19	1.5367e-20
9	17	5.2177e-18
9	18	2.5343e-11
9	19	2.4649e-12
9	20	8.379e-17
10	19	2.507e-13
10	20	0.00060584
10	21	2.5787e-08
10	22	1.1696e-05
10	23	3.4233e-15
11	21	2.3341e-12
11	22	2.7023e-09
11	23	3.1081e-06
11	24	1.8183e-10
12	23	1.5604e-07
12	24	0.000796
12	25	3.8842e-06
12	26	6.5565e-06
12	27	2.0747e-10
13	25	9.9679e-13
13	26	9.1115e-07
13	27	7.4681e-05
13	28	1.9335e-08
14	27	4.2611e-08
14	28	0.15981
14	29	0.00015958
14	30	0.00018367
14	31	2.816e-09
14	32	1.5919e-11
14	33	9.452e-18
15	30	1.0627e-06
15	31	0.00010365
15	32	5.0647e-08
15	33	4.2266e-08
15	34	7.2849e-13
16	31	1.263e-07
16	32	0.11272
16	33	0.0001379
16	34	0.00073091
16	35	5.2404e-08
16	36	1.4106e-08
16	37	4.8244e-15
17	35	6.1854e-05
17	36	2.2594e-07
17	37	1.9573e-07
17	38	2.3902e-12
18	35	2.7197e-08
18	36	0.026271
18	37	1.7875e-05
18	38	0.00049384
18	39	3.0594e-09
18	40	4.4657e-10
18	41	1.4217e-13
19	39	6.3745e-05
19	40	1.9519e-08
19	41	1.3617e-09
19	42	2.3511e-12
19	43	6.7936e-14
19	44	2.5338e-15
20	39	1.6813e-10
20	40	0.02806
20	41	5.2979e-06
20	42	2.2278e-05
20	43	4.686e-08
20	44	1.9424e-08
20	45	4.0008e-11
20	46	1.0205e-11
20	47	1.4835e-14
20	48	4.1127e-17
20	49	8.0346e-22
21	43	1.523e-07
21	44	6.7959e-09
21	45	2.6608e-08
21	46	4.7678e-10
21	47	2.4724e-11
21	48	2.7784e-13
21	49	2.561e-15
21	50	8.2058e-19
21	51	5.8128e-21
22	43	5.6021e-14
22	44	2.6025e-05
22	45	2.993e-07
22	46	8.3824e-06
22	47	1.1932e-07
22	48	6.6948e-08
22	49	9.4698e-10
22	50	1.9353e-10
22	51	9.3849e-15
22	52	3.5532e-17
22	53	3.7039e-22
22	54	7.0077e-24
23	47	1.8728e-07
23	48	6.4997e-08
23	49	1.231e-07
23	50	1.7511e-09
23	51	4.0195e-09
23	52	2.7198e-12
23	53	3.0416e-14
23	54	5.6959e-19
23	55	1.2246e-19
23	56	2.2314e-24
24	47	3.2606e-14
24	48	0.00051862
24	49	2.4633e-05
24	50	9.8939e-05
24	51	5.5142e-07
24	52	1.3617e-06
24	53	6.4356e-10
24	54	6.965e-11
24	55	4.0655e-13
24	56	1.9822e-12
24	57	1.6642e-15
24	58	1.9624e-13
25	51	5.4765e-05
25	52	2.441e-06
25	53	9.806e-06
25	54	6.5478e-09
25	55	2.1912e-09
25	56	8.2803e-12
26	51	1.13e-17
26	52	0.01078
26	53	0.00066919
26	54	0.012
26	55	1.1028e-05
26	56	2.442e-05
26	57	7.7144e-09
26	58	6.5642e-08
26	59	1.9067e-08
26	60	4.0992e-07
26	61	1.0793e-09
26	62	2.4716e-08
27	54	9.3488e-20
27	55	0.0032741
27	56	1.2425e-05
27	57	2.257e-06
27	58	9.3424e-09
27	59	1.4926e-07
27	60	2.3205e-07
27	61	5.006e-07
27	62	7.986e-08
28	54	5.3957e-29
28	55	5.4198e-22
28	56	0.53881
28	57	0.0075288
28	58	0.0059007
28	59	1.5063e-05
28	60	3.867e-05
28	61	7.9505e-07
28	62	2.1217e-05
29	58	1.3826e-07
29	59	0.00020366
29	60	0.00012943
29	61	1.1673e-05
29	62	1.1619e-07
29	63	1.4045e-06
29	64	2.8866e-07
29	65	6.6991e-07
29	66	1.1125e-08
30	59	1.2583e-24
30	60	0.0063807
30	61	0.0001749
30	62	0.00094564
30	63	2.1146e-07
30	64	3.3794e-06
30	65	4.5682e-07
30	66	2.1426e-05
