Z	A	M
6	12	0.00059707
6	13	7.5644e-12
7	13	1.5293e-12
7	14	1.2778e-10
7	15	3.114e-12
7	16	7.0618e-28
8	15	5.3632e-11
8	16	0.029244
8	17	2.0057e-11
8	18	1.3149e-14
8	19	1.1924e-22
9	17	2.7378e-18
9	18	8.5438e-13
9	19	2.4286e-13
9	20	1.1061e-17
10	19	1.5108e-15
10	20	7.9141e-05
10	21	4.8415e-09
10	22	3.69e-05
10	23	4.3201e-16
11	21	4.9365e-14
11	22	3.0834e-10
11	23	6.8058e-07
11	24	6.7929e-11
12	23	2.1787e-08
12	24	7.3191e-05
12	25	7.4437e-07
12	26	1.7315e-06
12	27	9.0408e-11
13	25	4.2453e-13
13	26	8.963e-08
13	27	1.0597e-05
13	28	7.8564e-09
14	27	1.0614e-08
14	28	0.10059
14	29	5.244e-05
14	30	7.6228e-05
14	31	2.5572e-09
14	32	2.5136e-11
14	33	7.9971e-19
15	30	3.5623e-07
15	31	4.6524e-05
15	32	3.1496e-08
15	33	2.5497e-08
15	34	1.4599e-12
16	31	7.8309e-08
16	32	0.069258
16	33	6.2843e-05
16	34	0.00060487
16	35	6.4263e-08
16	36	2.4794e-08
16	37	1.2465e-15
17	35	4.2334e-05
17	36	1.4546e-07
17	37	1.4485e-07
17	38	4.3416e-12
18	35	1.7364e-08
18	36	0.015826
18	37	1.227e-05
18	38	0.00052571
18	39	3.7707e-09
18	40	1.0654e-09
18	41	8.984e-13
19	39	5.2858e-05
19	40	1.7106e-08
19	41	1.4529e-09
19	42	1.2455e-11
19	43	4.4962e-13
19	44	7.0245e-15
20	39	1.0135e-10
20	40	0.016339
20	41	3.7315e-06
20	42	2.4318e-05
20	43	4.3783e-08
20	44	2.2481e-08
20	45	7.8967e-11
20	46	4.1873e-11
20	47	2.3999e-13
20	48	2.1114e-15
20	49	9.6546e-21
21	43	2.9067e-07
21	44	4.7685e-09
21	45	2.4842e-08
21	46	6.4076e-10
21	47	6.9032e-11
21	48	2.9773e-12
21	49	7.6092e-14
21	50	1.7937e-17
21	51	4.0531e-20
22	43	5.9138e-14
22	44	2.1399e-05
22	45	2.276e-07
22	46	9.7197e-06
22	47	1.6774e-07
22	48	8.0339e-08
22	49	8.2657e-10
22	50	3.0783e-10
22	51	4.1554e-14
22	52	5.8919e-16
22	53	1.1622e-20
22	54	8.2612e-24
23	47	2.6342e-07
23	48	5.14e-08
23	49	1.27e-07
23	50	1.4973e-09
23	51	4.0699e-09
23	52	3.131e-12
23	53	1.1231e-13
23	54	8.5873e-18
23	55	9.3901e-20
23	56	6.8945e-29
24	47	2.9806e-14
24	48	0.00034667
24	49	2.3161e-05
24	50	0.0001462
24	51	8.4351e-07
24	52	4.3756e-06
24	53	1.2917e-09
24	54	6.4008e-11
24	55	6.3496e-15
24	56	2.1514e-14
24	57	1.2813e-18
24	58	1.8913e-15
25	51	6.1327e-05
25	52	1.9104e-06
25	53	1.1787e-05
25	54	1.7432e-08
25	55	6.0236e-09
25	56	9.6062e-13
26	51	4.5705e-18
26	52	0.0071582
26	53	0.00064531
26	54	0.01703
26	55	2.1179e-05
26	56	5.4732e-05
26	57	1.1007e-08
26	58	2.408e-08
26	59	3.0925e-10
26	60	1.7901e-08
26	61	2.3485e-12
26	62	3.6803e-10
27	54	1.8024e-20
27	55	0.0035802
27	56	1.866e-05
27	57	4.4357e-06
27	58	1.2075e-08
27	59	8.3081e-08
27	60	2.9608e-08
27	61	1.9127e-07
27	62	2.0749e-09
28	54	5.9362e-29
28	55	5.7488e-22
28	56	0.76365
28	57	0.01819
28	58	0.027695
28	59	5.6406e-05
28	60	2.8682e-05
28	61	2.6113e-07
28	62	1.356e-05
29	58	2.5635e-07
29	59	0.0007558
29	60	0.00035492
29	61	3.4681e-05
29	62	6.351e-07
29	63	3.6694e-07
29	64	1.0245e-07
29	65	4.6217e-07
29	66	1.1444e-08
30	59	7.2032e-25
30	60	0.013857
30	61	0.00050077
30	62	0.0044286
30	63	1.4213e-06
30	64	6.1787e-07
30	65	6.4436e-08
30	66	6.8615e-06
