6 12	2.96e-03
6 13	2.34e-10
7 14	3.30e-08
7 15	4.42e-07
8 16	1.22e-01
8 17	5.40e-10
8 18	2.80e-10
9 19	6.40e-11
10 20	2.48e-03
10 21	3.43e-09
10 22	7.07e-09
11 23	1.54e-05
12 24	3.88e-02
12 25	3.24e-07
12 26	4.33e-07
13 27	1.00e-04
14 28	3.05e-01
14 29	9.37e-05
14 30	3.62e-05
15 31	8.02e-05
16 32	1.41e-01
16 33	4.03e-05
16 34	2.42e-06
16 36	1.49e-12
17 35	6.09e-06
17 37	1.51e-06
18 36	2.64e-02
18 38	1.25e-07
18 40	1.14e-13
19 39	1.29e-06
19 41	1.77e-07
20 40	2.40e-02
20 42	3.55e-09
20 43	1.72e-08
20 44	1.49e-05
20 46	5.91e-21
20 48	0.00e+00
21 45	1.13e-08
22 46	2.87e-09
22 47	2.42e-08
22 48	4.45e-04
22 49	6.23e-07
22 50	3.40e-20
23 50	1.88e-17
23 51	5.22e-06
24 50	3.39e-07
24 52	1.03e-02
24 53	1.14e-04
24 54	5.27e-16
25 55	8.94e-05
26 54	3.27e-05
26 56	3.01e-01
26 57	9.34e-04
26 58	1.43e-14
27 59	5.82e-06
28 58	5.70e-05
28 60	1.48e-05
28 61	3.78e-08
28 62	1.07e-08
28 64	6.41e-23
29 63	8.40e-09
29 65	3.09e-11
30 64	9.65e-09
30 66	2.75e-12
30 67	3.10e-16
30 68	1.28e-17
30 70	0.00e+00

