Z	A	M
6	12	0.00071246
6	13	4.4784e-09
7	13	4.365e-07
7	14	4.5275e-09
7	15	7.1781e-08
7	16	3.7022e-26
8	15	1.3039e-06
8	16	0.071539
8	17	5.6825e-11
8	18	2.1894e-15
8	19	9.4015e-26
9	17	2.3287e-10
9	18	2.2488e-12
9	19	1.5967e-11
9	20	5.8997e-21
10	19	3.6645e-11
10	20	0.00067341
10	21	2.0686e-08
10	22	1.836e-11
10	23	4.5128e-19
11	21	6.3407e-08
11	22	1.8542e-09
11	23	9.1595e-07
11	24	1.3125e-13
12	23	8.3469e-07
12	24	0.0023395
12	25	9.83e-07
12	26	5.9528e-08
12	27	1.2449e-14
13	25	7.3492e-07
13	26	3.0636e-07
13	27	9.7198e-06
13	28	1.0988e-11
14	27	1.4337e-06
14	28	0.13594
14	29	1.0062e-05
14	30	5.3137e-07
14	31	7.1135e-14
14	32	8.0932e-18
14	33	1.449e-25
15	30	6.1138e-06
15	31	4.2372e-05
15	32	5.0683e-12
15	33	4.8016e-12
15	34	1.6059e-18
16	31	4.1178e-06
16	32	0.10505
16	33	2.0479e-05
16	34	2.719e-09
16	35	5.114e-13
16	36	1.1668e-14
16	37	2.1724e-22
17	35	2.8419e-06
17	36	4.3021e-11
17	37	3.1057e-11
17	38	7.8859e-18
18	35	9.7378e-08
18	36	0.028544
18	37	4.0524e-06
18	38	3.7553e-10
18	39	1.2944e-14
18	40	3.0293e-16
18	41	1.1741e-21
19	39	8.1227e-07
19	40	8.2042e-13
19	41	3.8057e-14
19	42	1.3096e-19
19	43	3.652e-23
19	44	1.7094e-27
20	39	6.5575e-10
20	40	0.036539
20	41	9.7043e-07
20	42	4.9852e-11
20	43	2.165e-11
20	44	8.1838e-16
20	45	1.2985e-19
20	46	9.5388e-22
20	47	4.2121e-26
20	48	2.0786e-28
20	49	4.8981e-29
21	43	5.6647e-08
21	44	8.142e-13
21	45	9.0041e-11
21	46	4.9633e-18
21	47	8.6534e-21
21	48	2.7423e-24
21	49	3.5554e-27
21	50	4.9995e-29
21	51	5.098e-29
22	43	6.6744e-14
22	44	4.0335e-05
22	45	1.8704e-07
22	46	1.6815e-11
22	47	2.2078e-11
22	48	8.3449e-13
22	49	2.0623e-16
22	50	7.7603e-21
22	51	6.3408e-25
22	52	3.1472e-28
22	53	5.298e-29
22	54	5.3984e-29
23	47	7.9764e-09
23	48	2.2349e-08
23	49	3.3389e-08
23	50	1.3033e-17
23	51	1.9186e-17
23	52	4.5938e-21
23	53	8.9979e-25
23	54	1.3958e-28
23	55	2.6501e-27
23	56	5.6005e-29
24	47	4.9496e-14
24	48	0.00075491
24	49	1.4183e-05
24	50	4.3861e-10
24	51	1.2786e-10
24	52	9.6313e-12
24	53	1.0673e-16
24	54	1.1685e-20
24	55	1.2901e-24
24	56	1.196e-27
24	57	1.1524e-28
24	58	5.7978e-29
25	51	6.0611e-08
25	52	2.2567e-06
25	53	3.6285e-07
25	54	1.0008e-16
25	55	2.6813e-16
25	56	2.5339e-22
26	51	4.9626e-17
26	52	0.013734
26	53	2.9831e-05
26	54	2.0518e-05
26	55	1.5956e-08
26	56	6.5655e-12
26	57	5.3753e-15
26	58	3.9064e-19
26	59	4.1377e-24
26	60	1.2832e-27
26	61	6.0976e-29
26	62	6.1976e-29
27	54	6.466e-18
27	55	0.00020354
27	56	4.8667e-06
27	57	1.0645e-07
27	58	2.1758e-14
27	59	1.0556e-13
27	60	3.5965e-21
27	61	2.9889e-24
27	62	1.3277e-28
28	54	5.3964e-29
28	55	2.3608e-18
28	56	0.58795
28	57	0.0032224
28	58	0.00068737
28	59	3.5368e-05
28	60	3.2009e-07
28	61	8.6621e-10
28	62	1.6595e-11
29	58	0.00010163
29	59	0.00053665
29	60	0.00013827
29	61	5.1177e-06
29	62	3.1798e-09
29	63	1.6389e-09
29	64	9.6497e-19
29	65	4.329e-17
29	66	2.7075e-27
30	59	1.5361e-18
30	60	0.0069936
30	61	7.8664e-05
30	62	4.4712e-05
30	63	1.3326e-06
30	64	1.8907e-07
30	65	1.6242e-09
30	66	1.9315e-13
