Z	A	M
6	12	0.0036329
6	13	3.4528e-08
7	13	6.2601e-13
7	14	6.9569e-07
7	15	6.0806e-10
7	16	4.6889e-19
8	15	2.5249e-09
8	16	0.14306
8	17	2.5515e-07
8	18	4.5487e-10
8	19	2.1007e-14
9	17	3.9723e-20
9	18	7.482e-10
9	19	7.1514e-11
9	20	5.8441e-13
10	19	8.5468e-12
10	20	0.0035227
10	21	3.8081e-07
10	22	2.3488e-05
10	23	7.2582e-09
11	21	4.667e-11
11	22	1.2872e-08
11	23	1.7061e-05
11	24	1.4657e-07
12	23	1.3176e-06
12	24	0.0063927
12	25	1.823e-05
12	26	2.6999e-05
12	27	3.857e-08
13	25	2.7527e-12
13	26	6.2384e-06
13	27	0.00039472
13	28	7.3645e-08
14	27	2.9835e-07
14	28	0.27483
14	29	0.00048093
14	30	0.00056049
14	31	4.6688e-09
14	32	4.3361e-11
14	33	7.047e-15
15	30	5.9472e-06
15	31	0.00027818
15	32	9.9086e-08
15	33	8.4581e-08
15	34	1.5186e-12
16	31	1.2649e-07
16	32	0.16668
16	33	0.00035181
16	34	0.0015825
16	35	5.4142e-08
16	36	1.6938e-08
16	37	2.3159e-14
17	35	0.000105
17	36	4.3616e-07
17	37	3.6985e-07
17	38	1.7875e-12
18	35	1.901e-08
18	36	0.034598
18	37	2.9988e-05
18	38	0.000845
18	39	2.7912e-09
18	40	3.911e-10
18	41	4.815e-14
19	39	8.6011e-05
19	40	2.1502e-08
19	41	1.9378e-09
19	42	1.1898e-12
19	43	3.0084e-14
19	44	8.6141e-16
20	39	1.0953e-10
20	40	0.033912
20	41	6.6396e-06
20	42	2.7889e-05
20	43	4.9718e-08
20	44	2.7419e-08
20	45	2.3894e-11
20	46	3.9171e-12
20	47	1.7762e-15
20	48	2.8997e-18
20	49	1.8403e-22
21	43	4.1822e-09
21	44	8.1161e-09
21	45	3.3691e-08
21	46	3.8557e-10
21	47	1.6281e-11
21	48	6.219e-14
21	49	5.0715e-16
21	50	9.5055e-20
21	51	5.5811e-22
22	43	5.5066e-18
22	44	2.0958e-05
22	45	3.3158e-07
22	46	1.1247e-05
22	47	1.5691e-07
22	48	9.549e-08
22	49	8.6936e-10
22	50	1.3695e-10
22	51	1.8381e-15
22	52	2.5591e-18
22	53	1.4465e-22
22	54	2.414e-23
23	47	1.4433e-07
23	48	7.0041e-08
23	49	1.3339e-07
23	50	1.8982e-09
23	51	6.1504e-09
23	52	1.7769e-12
23	53	8.5922e-15
23	54	3.852e-19
23	55	5.1956e-19
23	56	9.9142e-26
24	47	5.8988e-16
24	48	0.00041761
24	49	2.2497e-05
24	50	0.00012049
24	51	7.6231e-07
24	52	3.3454e-06
24	53	1.2175e-09
24	54	1.0974e-10
24	55	5.4509e-12
24	56	7.0003e-12
24	57	1.7035e-13
24	58	1.5358e-12
25	51	4.8083e-05
25	52	1.7874e-06
25	53	8.9944e-06
25	54	1.2869e-08
25	55	5.0245e-09
25	56	1.8396e-11
26	51	6.0399e-18
26	52	0.0073492
26	53	0.00050694
26	54	0.012381
26	55	1.8918e-05
26	56	5.069e-05
26	57	1.5419e-07
26	58	6.2355e-07
26	59	5.4706e-07
26	60	1.9018e-06
26	61	1.1549e-07
26	62	2.1759e-07
27	54	1.9553e-19
27	55	0.0023139
27	56	6.6845e-06
27	57	3.0178e-06
27	58	2.6375e-08
27	59	7.4159e-07
27	60	1.0064e-06
27	61	1.0122e-06
27	62	4.1848e-07
28	54	4.5828e-29
28	55	1.0317e-23
28	56	0.15247
28	57	0.0012481
28	58	0.0010825
28	59	1.6321e-06
28	60	8.3729e-05
28	61	3.2816e-06
28	62	4.0258e-05
29	58	4.1983e-13
29	59	1.8718e-09
29	60	3.5678e-10
29	61	2.4578e-08
29	62	1.4365e-07
29	63	4.6487e-06
29	64	7.3568e-07
29	65	9.7688e-07
29	66	1.2e-08
30	59	7.2487e-28
30	60	2.8264e-10
30	61	1.6347e-11
30	62	3.0352e-09
30	63	4.2085e-09
30	64	1.761e-05
30	65	2.07e-06
30	66	4.5795e-05
