Z	A	M
6	12	0.081127
6	13	5.0501e-07
7	13	5.424e-10
7	14	7.4571e-05
7	15	4.8254e-08
7	16	1.3437e-16
8	15	1.1165e-07
8	16	0.30642
8	17	4.4138e-05
8	18	5.0883e-08
8	19	1.065e-12
9	17	7.0047e-19
9	18	2.6093e-07
9	19	2.0004e-09
9	20	4.0729e-12
10	19	3.2627e-10
10	20	0.0062552
10	21	6.7807e-06
10	22	0.00096699
10	23	1.9895e-07
11	21	3.1938e-09
11	22	5.4367e-08
11	23	0.0002979
11	24	2.2866e-06
12	23	1.3974e-06
12	24	0.0059512
12	25	0.00029949
12	26	0.00012744
12	27	2.0397e-07
13	25	4.3667e-11
13	26	8.6856e-06
13	27	0.00027745
13	28	4.072e-07
14	27	4.2764e-07
14	28	0.21146
14	29	0.00033982
14	30	0.00022087
14	31	3.8992e-09
14	32	5.7808e-11
14	33	3.7231e-14
15	30	4.4024e-06
15	31	0.00012158
15	32	4.7185e-08
15	33	4.1636e-08
15	34	1.3643e-12
16	31	1.5113e-07
16	32	0.11597
16	33	0.00014695
16	34	0.00036126
16	35	1.8196e-08
16	36	6.5007e-09
16	37	2.8697e-15
17	35	2.9619e-05
17	36	1.6338e-07
17	37	1.4961e-07
17	38	5.3627e-14
18	35	1.0861e-08
18	36	0.020924
18	37	9.281e-06
18	38	0.00013061
18	39	8.6058e-10
18	40	9.2531e-11
18	41	2.7474e-16
19	39	1.8472e-05
19	40	5.47e-09
19	41	6.4899e-10
19	42	2.6724e-13
19	43	4.7667e-15
19	44	8.126e-19
20	39	4.6947e-11
20	40	0.017343
20	41	1.9311e-06
20	42	4.8626e-06
20	43	1.5203e-08
20	44	5.3612e-09
20	45	4.6458e-12
20	46	7.0121e-13
20	47	1.9513e-16
20	48	4.3109e-19
20	49	3.7112e-27
21	43	6.3917e-10
21	44	2.0995e-09
21	45	6.895e-09
21	46	7.2842e-11
21	47	3.0015e-12
21	48	1.2196e-14
21	49	8.3406e-17
21	50	1.1051e-23
21	51	4.375e-28
22	43	1.7383e-17
22	44	8.5034e-06
22	45	9.1026e-08
22	46	1.5225e-06
22	47	2.2682e-08
22	48	1.3016e-08
22	49	1.4453e-10
22	50	1.647e-11
22	51	3.3567e-17
22	52	7.7964e-21
22	53	5.2944e-25
22	54	1.1076e-26
23	47	5.9345e-08
23	48	2.2863e-08
23	49	3.3347e-08
23	50	2.6822e-10
23	51	8.9961e-10
23	52	1.4798e-13
23	53	3.0979e-16
23	54	5.1271e-21
23	55	2.6328e-21
23	56	8.1088e-26
24	47	1.222e-16
24	48	0.00013399
24	49	8.4776e-06
24	50	4.1979e-05
24	51	1.0763e-07
24	52	1.6414e-07
24	53	1.2067e-10
24	54	3.8043e-11
24	55	6.4612e-12
24	56	1.4869e-12
24	57	1.0889e-13
24	58	2.002e-14
25	51	1.6391e-05
25	52	4.641e-07
25	53	2.0166e-06
25	54	8.8153e-10
25	55	4.3891e-10
25	56	9.2597e-12
26	51	6.6554e-19
26	52	0.0016356
26	53	0.00014254
26	54	0.0039047
26	55	2.2413e-06
26	56	0.00012118
26	57	1.0852e-05
26	58	1.0453e-05
26	59	4.1316e-06
26	60	2.0453e-06
26	61	1.8221e-07
26	62	3.4217e-08
27	54	6.2899e-20
27	55	0.00059281
27	56	1.5909e-06
27	57	9.8835e-07
27	58	1.572e-07
27	59	1.8538e-06
27	60	4.7909e-07
27	61	1.2567e-07
27	62	2.2331e-08
28	54	4.3089e-29
28	55	1.3068e-24
28	56	0.023679
28	57	0.0002639
28	58	0.00028438
28	59	2.6319e-06
28	60	4.195e-05
28	61	7.971e-07
28	62	1.3143e-05
29	58	1.252e-11
29	59	2.8463e-09
29	60	2.6992e-09
29	61	1.4097e-08
29	62	5.5681e-08
29	63	5.1886e-07
29	64	1.2578e-08
29	65	4.9266e-08
29	66	7.1015e-12
30	59	3.6174e-27
30	60	1.2279e-07
30	61	2.8577e-09
30	62	1.4671e-08
30	63	4.8887e-09
30	64	4.4565e-06
30	65	1.1332e-07
30	66	6.9785e-06
