6 12	1.32e-03
6 13	2.10e-10
7 14	1.41e-08
7 15	3.37e-07
8 16	7.86e-02
8 17	2.51e-10
8 18	1.19e-10
9 19	2.37e-11
10 20	9.87e-04
10 21	1.38e-09
10 22	2.98e-09
11 23	6.50e-06
12 24	2.38e-02
12 25	1.39e-07
12 26	1.81e-07
13 27	4.85e-05
14 28	2.31e-01
14 29	5.87e-05
14 30	2.46e-05
15 31	5.15e-05
16 32	1.10e-01
16 33	2.46e-05
16 34	2.70e-06
16 36	7.51e-13
17 35	5.22e-06
17 37	1.11e-06
18 36	2.12e-02
18 38	1.43e-07
18 40	6.77e-14
19 39	1.22e-06
19 41	1.38e-07
20 40	1.95e-02
20 42	3.34e-09
20 43	2.13e-08
20 44	1.26e-05
20 46	2.76e-21
20 48	0.00e+00
21 45	1.07e-08
22 46	4.72e-08
22 47	6.59e-08
22 48	3.88e-04
22 49	3.68e-07
22 50	1.82e-20
23 50	8.38e-18
23 51	5.51e-06
24 50	3.67e-07
24 52	8.56e-03
24 53	6.05e-05
24 54	1.95e-16
25 55	1.08e-04
26 54	2.62e-05
26 56	5.59e-01
26 57	3.61e-03
26 58	7.29e-15
27 59	5.94e-04
28 58	9.03e-04
28 60	2.16e-03
28 61	1.26e-05
28 62	5.86e-06
28 64	1.12e-19
29 63	1.60e-05
29 65	1.48e-07
30 64	3.33e-05
30 66	1.51e-07
30 67	3.21e-11
30 68	4.25e-12
30 70	0.00e+00

