Z	A	M
6	12	0.00018076
6	13	6.3301e-09
7	13	5.9701e-07
7	14	8.3395e-10
7	15	1.154e-08
7	16	5.1824e-28
8	15	2.0643e-07
8	16	0.017049
8	17	7.4904e-11
8	18	6.2279e-17
8	19	2.552e-28
9	17	7.7533e-10
9	18	6.3844e-14
9	19	9.0365e-13
9	20	5.5335e-23
10	19	2.0186e-12
10	20	0.00010165
10	21	2.9353e-09
10	22	4.106e-13
10	23	3.3204e-21
11	21	9.0374e-09
11	22	1.5237e-10
11	23	1.4492e-07
11	24	6.8994e-15
12	23	1.3883e-07
12	24	0.00060155
12	25	1.6772e-06
12	26	7.6784e-09
12	27	6.295e-16
13	25	1.2656e-06
13	26	7.2666e-08
13	27	2.87e-06
13	28	1.4075e-12
14	27	5.1834e-07
14	28	0.1027
14	29	2.0562e-06
14	30	1.2628e-07
14	31	8.4995e-15
14	32	1.394e-18
14	33	4.8368e-27
15	30	1.5209e-06
15	31	1.6439e-05
15	32	1.2859e-12
15	33	1.692e-12
15	34	3.6262e-19
16	31	1.6082e-06
16	32	0.067503
16	33	7.5461e-06
16	34	6.8051e-09
16	35	2.2264e-13
16	36	7.3629e-15
16	37	2.8661e-23
17	35	1.6686e-06
17	36	2.0915e-11
17	37	1.4618e-11
17	38	3.9935e-18
18	35	5.6604e-08
18	36	0.015371
18	37	1.4602e-06
18	38	3.1421e-09
18	39	1.3737e-14
18	40	8.1444e-16
18	41	6.079e-22
19	39	5.0196e-07
19	40	6.9518e-13
19	41	2.0829e-14
19	42	1.5398e-19
19	43	3.4053e-23
19	44	5.9241e-28
20	39	3.5794e-10
20	40	0.016034
20	41	2.6299e-07
20	42	2.0546e-09
20	43	7.18e-11
20	44	5.501e-16
20	45	1.4614e-19
20	46	3.3878e-22
20	47	2.8887e-27
20	48	8.6792e-29
20	49	5.3877e-29
21	43	1.8426e-07
21	44	4.3848e-13
21	45	2.1478e-11
21	46	6.2159e-18
21	47	7.4453e-21
21	48	5.6498e-25
21	49	2.6334e-27
21	50	5.4976e-29
21	51	5.6076e-29
22	43	1.4281e-13
22	44	2.8923e-05
22	45	4.3891e-08
22	46	1.8928e-11
22	47	5.7559e-11
22	48	6.9331e-14
22	49	4.9577e-17
22	50	3.4834e-21
22	51	5.3704e-26
22	52	1.0353e-28
22	53	5.8275e-29
22	54	5.9377e-29
23	47	2.0324e-08
23	48	5.7309e-09
23	49	1.7483e-08
23	50	1.8881e-17
23	51	1.9602e-17
23	52	2.7792e-21
23	53	1.2836e-25
23	54	9.4049e-29
23	55	6.0485e-28
23	56	6.1581e-29
24	47	9.0661e-14
24	48	0.00039486
24	49	7.4577e-06
24	50	2.1233e-10
24	51	7.7205e-11
24	52	2.4641e-12
24	53	7.1755e-18
24	54	1.6531e-20
24	55	5.4015e-25
24	56	5.6641e-28
24	57	1.6394e-28
24	58	6.3773e-29
25	51	3.6519e-08
25	52	1.2183e-06
25	53	1.1053e-08
25	54	8.1903e-17
25	55	2.4918e-16
25	56	1.4499e-21
26	51	2.4716e-17
26	52	0.0075751
26	53	8.8129e-07
26	54	1.8743e-06
26	55	1.1272e-08
26	56	5.8807e-12
26	57	2.1587e-14
26	58	5.8046e-19
26	59	5.3642e-23
26	60	6.029e-27
26	61	6.7072e-29
26	62	6.8171e-29
27	54	4.5985e-20
27	55	0.00013831
27	56	6.7661e-06
27	57	2.8641e-07
27	58	1.4802e-14
27	59	1.3501e-13
27	60	6.5488e-21
27	61	3.9854e-23
27	62	3.1335e-28
28	54	5.9372e-29
28	55	1.3062e-18
28	56	0.82976
28	57	0.0078076
28	58	0.0016964
28	59	8.9228e-05
28	60	9.3326e-07
28	61	3.5924e-09
28	62	1.0111e-10
29	58	0.00023693
29	59	0.0012794
29	60	0.00046907
29	61	1.7992e-05
29	62	2.0579e-08
29	63	4.3977e-09
29	64	3.0324e-18
29	65	2.9151e-16
29	66	1.4944e-24
30	59	1.5352e-18
30	60	0.019044
30	61	0.00026609
30	62	0.0001918
30	63	3.2984e-06
30	64	5.8723e-07
30	65	4.8937e-09
30	66	7.6778e-13
