6	12	0.0099
6	13	6.15e-08
7	14	9.93e-06
7	15	1.22e-08
8	16	0.0474
8	17	1.37e-06
8	18	1.33e-08
9	19	1.35e-10
10	20	0.00337
10	21	9.79e-07
10	22	0.000326
11	23	6.41e-05
12	24	0.00713
12	25	9.26e-05
12	26	0.000136
13	27	0.000395
14	28	0.0899
14	29	0.000464
14	30	0.001
15	31	0.000228
16	32	0.037
16	33	0.000106
16	34	0.00116
16	36	1.35e-07
17	35	6.2e-05
17	37	9.62e-06
18	36	0.00636
18	38	0.000515
18	40	2.45e-09
19	39	2.98e-05
19	41	1.65e-06
20	40	0.00574
20	42	1.11e-05
20	43	1.93e-08
20	44	4.4e-06
20	46	1.99e-11
20	48	3.88e-15
21	45	6.53e-08
22	46	5.72e-06
22	47	2.28e-07
22	48	0.000141
22	49	1.07e-05
22	50	5.52e-08
23	50	1.21e-09
23	51	4.14e-05
24	50	0.000139
24	52	0.00406
24	53	0.000527
24	54	2.06e-06
25	55	0.00693
26	54	0.0307
26	56	1.04
26	57	0.0305
26	58	1.41e-05
27	59	0.000497
28	58	0.0678
28	60	0.00263
28	61	9.36e-05
28	62	0.000731
28	64	8.11e-09
29	63	4.94e-07
29	65	1.15e-07
30	64	1.83e-06
30	66	2.7e-06
30	67	1.53e-09
30	68	9.38e-10
30	70	6.43e-16
