6 12	5.65e-03
6 13	1.01e-08
7 14	2.69e-06
7 15	3.18e-09
8 16	1.21e-01
8 17	4.88e-07
8 18	4.98e-09
9 19	5.51e-10
10 20	6.44e-03
10 21	3.61e-07
10 22	4.79e-05
11 23	5.10e-05
12 24	1.91e-02
12 25	6.59e-05
12 26	8.37e-05
13 27	7.31e-04
14 28	2.59e-01
14 29	7.47e-04
14 30	1.29e-03
15 31	3.94e-04
16 32	1.15e-01
16 33	2.52e-04
16 34	1.80e-03
16 36	1.44e-07
17 35	1.27e-04
17 37	2.85e-05
18 36	2.04e-02
18 38	1.01e-03
18 40	5.52e-08
19 39	9.47e-05
19 41	6.07e-06
20 40	1.76e-02
20 42	2.72e-05
20 43	9.59e-08
20 44	1.19e-05
20 46	2.95e-08
20 48	2.93e-09
21 45	3.40e-07
22 46	1.49e-05
22 47	6.42e-07
22 48	3.62e-04
22 49	2.41e-05
22 50	3.12e-07
23 50	3.85e-08
23 51	9.28e-05
24 50	2.96e-04
24 52	9.66e-03
24 53	1.18e-03
24 54	1.08e-05
25 55	1.29e-02
26 54	9.90e-02
26 56	6.20e-01
26 57	1.62e-02
26 58	7.79e-05
27 59	5.09e-04
28 58	6.27e-02
28 60	4.49e-03
28 61	5.33e-05
28 62	3.05e-04
28 64	2.53e-06
29 63	1.17e-05
29 65	4.28e-06
30 64	9.90e-06
30 66	1.34e-05
30 67	6.23e-07
30 68	7.56e-07
30 70	2.06e-08
