6 12	1.36e-02
6 13	2.84e-08
7 14	1.22e-07
7 15	5.28e-07
8 16	2.26e-01
8 17	5.49e-10
8 18	5.04e-10
9 19	5.25e-10
10 20	4.81e-03
10 21	2.39e-08
10 22	2.83e-08
11 23	3.16e-05
12 24	7.68e-02
12 25	1.01e-06
12 26	1.00e-06
13 27	2.27e-04
14 28	1.22e-01
14 29	2.28e-04
14 30	7.05e-05
15 31	1.29e-04
16 32	1.75e-02
16 33	1.09e-04
16 34	9.66e-05
16 36	3.64e-11
17 35	2.74e-04
17 37	4.59e-06
18 36	4.53e-03
18 38	3.03e-05
18 40	1.69e-10
19 39	9.27e-04
19 41	5.27e-06
20 40	2.47e-02
20 42	1.15e-05
20 43	6.63e-05
20 44	9.56e-03
20 46	6.78e-19
20 48	5.29e-26
21 45	6.39e-06
22 46	6.70e-06
22 47	4.69e-04
22 48	1.90e-02
22 49	1.77e-04
22 50	1.96e-16
23 50	4.29e-11
23 51	1.30e-03
24 50	7.63e-05
24 52	1.39e-02
24 53	7.20e-04
24 54	3.56e-10
25 55	1.39e-03
26 54	2.97e-04
26 56	7.63e-03
26 57	9.75e-04
26 58	3.98e-10
27 59	4.35e-05
28 58	4.28e-04
28 60	3.88e-04
28 61	1.08e-04
28 62	6.06e-05
28 64	6.63e-13
29 63	4.36e-06
29 65	4.57e-06
30 64	4.07e-05
30 66	6.52e-06
30 67	1.07e-06
30 68	1.01e-06
30 70	1.16e-16
