Z	A	M
6	12	0.0070158
6	13	1.9551e-08
7	13	1.4106e-12
7	14	2.4713e-06
7	15	2.327e-09
7	16	3.535e-19
8	15	1.6596e-08
8	16	0.24736
8	17	7.5446e-07
8	18	1.359e-09
8	19	3.281e-14
9	17	7.4303e-20
9	18	6.6609e-09
9	19	1.8743e-10
9	20	5.5897e-13
10	19	5.3988e-11
10	20	0.010171
10	21	8.8685e-07
10	22	3.2251e-05
10	23	3.7903e-09
11	21	1.6875e-10
11	22	3.9462e-08
11	23	3.8444e-05
11	24	1.5916e-07
12	23	3.3036e-06
12	24	0.012557
12	25	4.1016e-05
12	26	5.7554e-05
12	27	5.0474e-08
13	25	7.5871e-12
13	26	1.4705e-05
13	27	0.00066242
13	28	1.2793e-07
14	27	8.9832e-07
14	28	0.22982
14	29	0.00057388
14	30	0.00052337
14	31	4.7866e-09
14	32	4.5934e-11
14	33	8.4103e-15
15	30	1.3058e-05
15	31	0.00025964
15	32	8.3148e-08
15	33	7.3987e-08
15	34	1.3073e-12
16	31	3.0055e-07
16	32	0.14458
16	33	0.00029724
16	34	0.00059002
16	35	3.96e-08
16	36	1.1026e-08
16	37	5.7203e-15
17	35	6.9035e-05
17	36	3.0287e-07
17	37	2.6702e-07
17	38	5.8265e-13
18	35	3.38e-08
18	36	0.031555
18	37	1.7906e-05
18	38	0.00025308
18	39	1.8537e-09
18	40	1.966e-10
18	41	8.9001e-15
19	39	3.8398e-05
19	40	1.3733e-08
19	41	1.2348e-09
19	42	6.0998e-13
19	43	1.0486e-14
19	44	8.7146e-17
20	39	1.8941e-10
20	40	0.032254
20	41	3.9498e-06
20	42	1.0577e-05
20	43	3.2184e-08
20	44	1.0007e-08
20	45	9.7947e-12
20	46	1.3678e-12
20	47	4.2594e-16
20	48	6.59e-19
20	49	3.7284e-24
21	43	2.0075e-09
21	44	5.7272e-09
21	45	1.6543e-08
21	46	1.6446e-10
21	47	5.0452e-12
21	48	1.9355e-14
21	49	1.2635e-16
21	50	1.6346e-21
21	51	8.0668e-24
22	43	9.0049e-18
22	44	2.0392e-05
22	45	1.7497e-07
22	46	3.2593e-06
22	47	4.4321e-08
22	48	2.3143e-08
22	49	2.6969e-10
22	50	2.6655e-11
22	51	1.0563e-16
22	52	6.1625e-20
22	53	4.8871e-23
22	54	1.8423e-24
23	47	8.4229e-08
23	48	6.0398e-08
23	49	6.7843e-08
23	50	5.2705e-10
23	51	1.5148e-09
23	52	3.0454e-13
23	53	8.0742e-16
23	54	2.098e-19
23	55	1.7384e-19
23	56	3.39e-23
24	47	8.5032e-16
24	48	0.0004285
24	49	1.6905e-05
24	50	4.4889e-05
24	51	1.9055e-07
24	52	2.1415e-07
24	53	2.1369e-10
24	54	4.9292e-11
24	55	1.13e-11
24	56	7.1983e-12
24	57	1.8507e-13
24	58	5.6436e-13
25	51	2.8874e-05
25	52	1.498e-06
25	53	4.4654e-06
25	54	1.5092e-09
25	55	7.1789e-10
25	56	3.1237e-11
26	51	6.9696e-18
26	52	0.0064938
26	53	0.00034237
26	54	0.0049795
26	55	2.3224e-06
26	56	1.1429e-05
26	57	5.6731e-07
26	58	3.0937e-06
26	59	1.9954e-06
26	60	3.3912e-06
26	61	1.7511e-07
26	62	1.6317e-07
27	54	2.1269e-19
27	55	0.0013414
27	56	4.0363e-06
27	57	1.0748e-06
27	58	1.8592e-07
27	59	4.2236e-06
27	60	2.3026e-06
27	61	1.2373e-06
27	62	3.1791e-07
28	54	4.5807e-29
28	55	1.3305e-23
28	56	0.11594
28	57	0.00074774
28	58	0.00043558
28	59	4.7702e-06
28	60	7.2635e-05
28	61	5.514e-06
28	62	2.6399e-05
29	58	2.9102e-13
29	59	1.0069e-09
29	60	1.4183e-09
29	61	8.0598e-08
29	62	4.036e-07
29	63	4.1732e-06
29	64	3.4716e-07
29	65	3.7181e-07
29	66	1.4337e-09
30	59	7.261e-28
30	60	1.8306e-10
30	61	2.0004e-11
30	62	1.6589e-08
30	63	2.186e-08
30	64	1.8626e-05
30	65	1.4606e-06
30	66	1.6005e-05
