1	1	0.0	-0.0081065	-0.012313	-0.012831	-0.011831	-0.010851	-0.01019	-0.014957	-0.030223	-0.069401	-0.093698	-0.063139	-0.082271	-0.18215	-0.27527	-0.35149	-0.41976
1	2	0.0	1.1868e-18	3.9207e-18	3.9741e-18	5.3669e-18	7.5207e-18	8.4064e-18	7.9981e-18	1.0398e-17	1.3654e-17	1.7155e-17	1.9031e-17	1.8869e-17	2.0493e-17	2.1903e-17	2.3497e-17	2.4562e-17
2	3	0.0	0.00013559	0.00024202	0.00031052	0.00032197	0.00032034	0.0003144	0.00028604	0.00026301	0.00022333	0.00020472	0.00019101	0.00017269	8.2498e-05	7.3058e-06	4.2828e-06	4.4278e-06
2	4	0.0	0.00794	0.011998	0.012394	0.011327	0.010327	0.0096545	0.013397	0.02366	0.051488	0.069446	0.04887	0.078523	0.1675	0.2513	0.33136	0.40263
3	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	7	0.0	-1.668e-09	-5.5595e-09	-5.3512e-09	-7.2589e-09	-1.1317e-08	-1.1981e-08	-1.0399e-08	-1.2272e-08	-1.6283e-08	-2.5808e-08	-2.9742e-08	-3.2909e-08	-1.436e-08	-3.0662e-08	-3.8418e-08	-3.9235e-08
4	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	12	0.0	-0.00017512	-0.00046301	-0.00080092	-0.0011244	-0.0012645	-0.0013601	-0.00062879	0.0038214	0.013697	0.018787	0.0092211	-0.0012293	0.0028672	-0.0064297	-0.0098768	-0.011277
